曲管理番号	バージョン	曲名	Diff	Lv
1329	CANNON BALLERS	共犯ヘヴンズコード	A	10
1330	RESIDENT	昏き甲鉄のヴェルガ	A	10
1331	HAPPY SKY	月光	A	10
1332	BISTROVER	ここからよろしく大作戦143	A	10
1333	RESIDENT	サヨナラ・ヘヴン-Celtic Chip Dance Mix-	A	10
1334	RESIDENT	湘南ロンリーMIDNIGHT RAIN	A	10
1335	Lincle	衰色小町メランコリア	A	10
1336	HEROIC VERSE	セピアの軌跡 ft. 天宮みや(少女フラクタル)	A	10
1337	CANNON BALLERS	草原の王女-軌跡を辿って-	A	10
1338	RESIDENT	月と夢の跡 ft. マナ	A	10
1339	SINOBUZ	月雪に舞う華のように	A	10
1340	EMPRESS	翼	L	10
1341	EMPRESS	鉄甲乙女-under the steel-	A	10
1342	Lincle	突撃!ガラスのニーソ姫!	A	10
1343	Rootage	夏の匂い。キミの残像。 ft. Kanae Asaba	A	10
1344	EMPRESS	ハリツヤランデヴー	A	10
1345	Pinky Crush	ハルイロメロディー	A	10
1346	Sparkle Shower	百恋ラブラスター	A	10
1347	Lincle	ビューティフルレシート	A	10
1348	EPOLIS	ポラリスノウタ	A	10
1349	DJ TROOPERS	ミラージュ・レジデンス	A	10
1350	CastHour	めでてえ	A	10
1351	HEROIC VERSE	ラブキラ☆スプラッシュ	A	10
1352	GOLD	リグレット	A	10
1353	EMPRESS	凛として咲く花の如く	A	10
1354	Sparkle Shower	レシピのリドル	A	10
1355	Sparkle Shower	恋愛観測	A	10
1356	DistorteD	罠	A	10
1357	IIDX RED	AGEHA	L	11
1358	SPADA	ALBA -黎明-	A	11
1359	DJ TROOPERS	Anisakis -somatic mutation type"Forza"-	A	11
1360	SINOBUZ	BabeL ～Grand Story～	A	11
1361	EMPRESS	Bahram Attack-猫叉Master Remix-	L	11
1362	Pinky Crush	Bang-Boo Bumble	A	11
1363	SINOBUZ	Be A Star	A	11
1364	PENDUAL	Beyond The Earth	A	11
1365	SINOBUZ	Beyond The Seven	A	11
1366	PENDUAL	Blaze it UP!	A	11
1367	Resort Anthem	BLUST OF WIND	L	11
1368	SINOBUZ	BroGamer	A	11
1369	HAPPY SKY	CaptivAte～浄化～	A	11
1370	PENDUAL	Chronos	L	11
1371	CANNON BALLERS	City Never Sleeps (IIDX Edition)	A	11
1372	IIDX RED	Click Again	A	11
1373	PENDUAL	COLOSSEUM	A	11
1374	tricoro	Cookie Bouquets	A	11
1375	SIRIUS	DAWN -THE NEXT ENDEAVOUR-	A	11
1376	EPOLIS	DAZZLE ATTACK	A	11
1377	DistorteD	DEEP ROAR	A	11
1378	CastHour	Divine Heaven	A	11
1379	HAPPY SKY	EDEN	L	11
1380	SINOBUZ	Egret and Willow	A	11
1381	SPADA	Element of SPADA	L	11
1382	CastHour	Emera	A	11
1383	tricoro	examination leave	A	11
1384	CANNON BALLERS	Exhaust Hype	A	11
1385	CANNON BALLERS	Fervidex	A	11
1386	CANNON BALLERS	FREEDOM	A	11
1387	Rootage	HEISEI	A	11
1388	PENDUAL	HELL SCAPER -Last Escape Remix-	A	11
1389	10th style	HIGH	L	11
1390	Rootage	IDOL syndrome.	L	11
1391	Pinky Crush	IN BETWEEN	A	11
1392	DJ TROOPERS	in the Sky	A	11
1393	copula	Journey	L	11
1394	Sparkle Shower	kors k's Let's make an Image Song!	A	11
1395	9th style	Logic Board	A	11
1396	Pinky Crush	lowercase lifetime	A	11
1397	10th style	Lucy	A	11
1398	Pinky Crush	MVP	A	11
1399	PENDUAL	No Tears	A	11
1400	SINOBUZ	OOO	L	11
1401	copula	Outbreak	A	11
1402	BISTROVER	Para siempre	A	11
1403	HAPPY SKY	Pollinosis	A	11
1404	Pinky Crush	PopなEDEN	A	11
1405	EMPRESS	Punch Love♡仮面	L	11
1406	Pinky Crush	Raspberry Potion (feat.あれたん♡ & ぎゃるのしん☆)	A	11
1407	PENDUAL	Realize Maze	A	11
1408	Rootage	R∞tAge	A	11
1409	Lincle	SHADE	A	11
1410	RESIDENT	Shadow World	A	11
1411	GOLD	smile	A	11
1412	EMPRESS	smooooch・∀・	L	11
1413	Sparkle Shower	SnapSkipSpark	A	11
1414	DJ TROOPERS	SOUND OF GIALLARHORN	A	11
1415	10th style	SPACE FIGHT	A	11
1416	EPOLIS	Speculation	A	11
1417	Pinky Crush	Stargazing Trip ～星 探す旅～ ft. 小林マナ	A	11
1418	copula	STARLIGHT DANCEHALL	A	11
1419	CANNON BALLERS	STARLIGHT JUNCTION	L	11
1420	6th style	Take It Easy	A	11
1421	DJ TROOPERS	THE DEEP STRIKER	A	11
1422	SPADA	THE DETONATOR	A	11
1423	Resort Anthem	THE FALLEN	A	11
1424	DJ TROOPERS	the trigger of innocence	L	11
1425	DJ TROOPERS	Time to Air	A	11
1426	Resort Anthem	Tropical April	A	11
1427	EMPRESS	V2	A	11
1428	SPADA	Valgus	A	11
1429	HEROIC VERSE	VALKYRIAS -英雄誕生-	A	11
1430	CastHour	Ventriloquist	A	11
1431	CastHour	Victory Of Ravers	A	11
1432	HEROIC VERSE	Volcanic Dragon	A	11
1433	DJ TROOPERS	Wanna Party?	L	11
1434	copula	Welcome	A	11
1435	Resort Anthem	WISE UP!	L	11
1436	Resort Anthem	XANADU OF TWO	L	11
1437	CastHour	Xyndrome	A	11
1438	DJ TROOPERS	2 tribe 4 K	A	11
1439	tricoro	朧	L	11
1440	SINOBUZ	鴉	A	11
1441	PENDUAL	恋は白帯、サンシロー	L	11
1442	BISTROVER	ここからよろしく大作戦143	L	11
1443	RESIDENT	≡+≡	A	11
1444	RESIDENT	少年リップルズ	A	11
