曲管理番号	バージョン	曲名	Diff	Lv
148	RESIDENT	GET UP AGAIN	A	10
149	HAPPY SKY	Get'em up to R.A.V.E	A	10
150	10th style	GHOST REVIVAL	A	10
151	copula	Go Faraway	A	10
152	Pinky Crush	Good Looking	A	10
153	HAPPY SKY	GREEN EYES	A	10
154	PENDUAL	GUILTY	A	10
155	HAPPY SKY	HAPPY☆ANGEL	A	10
156	EPOLIS	Hard Breaker	A	10
157	CastHour	Harmonia	A	10
158	CANNON BALLERS	HAT TRICK	A	10
159	DistorteD	Heavenly Sun (IIDX VERSION)	A	10
160	BISTROVER	HIGH VOLTAGE	A	10
161	Sparkle Shower	HORIZON BEATZ	A	10
162	tricoro	Howling	L	10
163	SIRIUS	Hydrogen Blueback	A	10
164	HAPPY SKY	I am	A	10
165	Rootage	IDOL syndrome.	A	10
166	HEROIC VERSE	If	A	10
167	tricoro	ILIAS	A	10
168	PENDUAL	illuminate	A	10
169	SPADA	into the battlefield	A	10
170	EPOLIS	Iris	A	10
171	Pinky Crush	KOTONOHA ft. Kotoha	A	10
172	8th style	LAB	A	10
173	SIRIUS	Last Burning	A	10
174	Rootage	Let me be your cure	A	10
175	Rootage	Lift Us High	A	10
176	Lincle	LOVE B.B.B	A	10
177	8th style	LOVE IS ORANGE	L	10
178	9th style	LOVE♡SHINE	A	10
179	CANNON BALLERS	LUV DRIVE	A	10
180	Pinky Crush	Lycoris	A	10
181	SPADA	M.D.Injection	A	10
182	substream	Macho Gang	A	10
183	SINOBUZ	Magical	A	10
184	DistorteD	MOON	A	10
185	SINOBUZ	Music is The Answer	A	10
186	CastHour	N.O.	A	10
187	EMPRESS	NΦ CRIME	L	10
188	IIDX RED	NEBULA GRASPER	A	10
189	tricoro	Neonlights	A	10
190	RESIDENT	Next Level	A	10
191	CastHour	No Day But Today!	A	10
192	SIRIUS	NoN-Fiction Story!	A	10
193	SPADA	NPC World	A	10
194	Sparkle Shower	Nyan Nyan University	A	10
195	CANNON BALLERS	O/D*20	A	10
196	CastHour	P.O.W.E.R.	A	10
197	Lincle	Phoenix	A	10
198	tricoro	planarian	A	10
