アクティブな難易度表: 22ランク
数値ランク数: 21
投票がある楽曲: 236件

変動対象楽曲: 234件
  DEMOTE  12.5 -> 12.4 | StrayedCatz (↑0 ↓1)
  PROMOTE 12.5 -> 12.6 | The Chase (↑3 ↓0)
  DEMOTE  12.5 -> 12.4 | THE F∀UST (↑0 ↓2)
  DEMOTE  12.5 -> 12.4 | #The_Relentless[L] (↑0 ↓2)
  DEMOTE  12.5 -> 12.4 | Time to Air[L] (↑0 ↓2)
  PROMOTE 12.5 -> 12.6 | TOMAHAWK (↑1 ↓0)
  DEMOTE  12.5 -> 12.4 | UNDO THE NIGHT (↑0 ↓1)
  PROMOTE 12.5 -> 12.6 | Watch Out Pt.2 (↑1 ↓0)
  PROMOTE 12.5 -> 12.6 | がっつり陰キャ!? 怪盗いいんちょの億劫^^; (↑3 ↓0)
  PROMOTE 12.5 -> 12.6 | もっと！モット！ときめき feat. 松下 (↑1 ↓0)
  DEMOTE  12.5 -> 12.4 | ラブコメトキドキシリアス (↑0 ↓1)
  PROMOTE 12.5 -> 12.6 | 今宵、ロマンス横丁。 (↑1 ↓0)
  PROMOTE 12.5 -> 12.6 | 共鳴遊戯の華 (↑1 ↓0)
  DEMOTE  12.5 -> 12.4 | 水鏡の異界 (↑0 ↓2)
  DEMOTE  12.5 -> 12.4 | 超青少年ノ為ノ超多幸ナ超古典的超舞曲[L] (↑0 ↓3)
  DEMOTE  12.5 -> 12.4 | 雪上断火 (↑0 ↓3)
  PROMOTE 12.5 -> 12.6 | 魔法のかくれんぼ (↑1 ↓0)
  DEMOTE  12.4 -> 12.3 | ≡+≡[L] (↑0 ↓1)
  DEMOTE  12.4 -> 12.3 | From Human Blood (↑0 ↓2)
  DEMOTE  12.4 -> 12.3 | Memoria Obscura (↑0 ↓2)
  PROMOTE 12.4 -> 12.5 | quell～the seventh slave～ (↑1 ↓0)
  DEMOTE  12.4 -> 12.3 | Scripted Connection⇒ A mix[L] (↑0 ↓2)
  PROMOTE 12.4 -> 12.5 | Selfish Sweet[L] (↑2 ↓0)
  PROMOTE 12.4 -> 12.5 | SISYPHUS (↑1 ↓0)
  PROMOTE 12.4 -> 12.5 | Smashing Wedge (↑1 ↓0)
  PROMOTE 12.4 -> 12.5 | Spica (↑1 ↓0)
  PROMOTE 12.4 -> 12.5 | 少年は空を辿る (↑1 ↓0)
  PROMOTE 12.4 -> 12.5 | 真 地獄超特急 -HELL or HELL- (↑3 ↓0)
  PROMOTE 12.4 -> 12.5 | 電腦都市 (↑1 ↓0)
  DEMOTE  12.3 -> 12.2 | ALBA -黎明-[L] (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | Always We Trust In You (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | BEAT PRISONER (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | Ember Lights[L] (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | gigadelic (↑0 ↓2)
  DEMOTE  12.3 -> 12.2 | HyperTwist (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | HYPE THE CORE (↑0 ↓1)
  PROMOTE 12.3 -> 12.4 | IDC feat.REVERBEE (Mo'Cuts Ver) (↑2 ↓0)
  DEMOTE  12.3 -> 12.2 | Little Star (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | O/D*20[L] (↑0 ↓1)
  PROMOTE 12.3 -> 12.4 | Quakes (↑2 ↓0)
  DEMOTE  12.3 -> 12.2 | Session 9 -Chronicles- (↑0 ↓2)
  DEMOTE  12.3 -> 12.2 | SOLID STATE SQUAD -RISEN RELIC REMIX- (↑0 ↓1)
  PROMOTE 12.3 -> 12.4 | Zirkfied (↑2 ↓0)
  PROMOTE 12.3 -> 12.4 | スキッテイエェエエェ!!!! (↑2 ↓0)
  DEMOTE  12.3 -> 12.2 | ぞうしょく！？マイデンティティ (↑0 ↓2)
  DEMOTE  12.3 -> 12.2 | バンブーソード・ガール (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | 夏色DIARY - L.E.D.-G STYLE MIX - (↑0 ↓2)
  DEMOTE  12.3 -> 12.2 | 泰東ノ翠霞 (↑0 ↓2)
  DEMOTE  12.3 -> 12.2 | 海神[L] (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | 疾風迅雷 (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | 禊 (↑0 ↓1)
  DEMOTE  12.3 -> 12.2 | 童話回廊 (↑0 ↓1)
  DEMOTE  12.2 -> 12.1 | Ah Hah Yeah (↑0 ↓1)
  DEMOTE  12.2 -> 12.1 | ALTERNATOR (↑0 ↓1)
  DEMOTE  12.2 -> 12.1 | AO-1 (↑0 ↓1)
  PROMOTE 12.2 -> 12.3 | Caterpillar (↑1 ↓0)
  PROMOTE 12.2 -> 12.3 | DEATH†ZIGOQ ～怒りの高速爆走野郎～ (↑2 ↓0)
  PROMOTE 12.2 -> 12.3 | Elektrick U-Phoria[L] (↑1 ↓0)
  PROMOTE 12.2 -> 12.3 | FAKE TIME (↑2 ↓0)
  PROMOTE 12.2 -> 12.3 | Farewell to Marrakech (↑1 ↓0)
  DEMOTE  12.2 -> 12.1 | Fire Beat (↑0 ↓2)
  PROMOTE 12.2 -> 12.3 | Golden Palms[L] (↑1 ↓0)
  DEMOTE  12.2 -> 12.1 | IMPLANTATION (↑0 ↓1)
  PROMOTE 12.2 -> 12.3 | MENDES (↑1 ↓0)
  DEMOTE  12.2 -> 12.1 | Red Determination (↑0 ↓1)
  PROMOTE 12.2 -> 12.3 | Red Soul (↑1 ↓0)
  DEMOTE  12.2 -> 12.1 | SAMURAI-Scramble (↑0 ↓2)
  DEMOTE  12.2 -> 12.1 | Snakey Kung-fu (↑0 ↓1)
  DEMOTE  12.2 -> 12.1 | THE DEEP STRIKER[L] (↑0 ↓2)
  DEMOTE  12.2 -> 12.1 | TRANOID (↑0 ↓1)
  PROMOTE 12.2 -> 12.3 | デッドボヲルdeホームラン (↑1 ↓0)
  PROMOTE 12.2 -> 12.3 | ミュージック・アワー[L] (↑1 ↓0)
  DEMOTE  12.2 -> 12.1 | 新宝島[L] (↑0 ↓2)
  PROMOTE 12.1 -> 12.2 | Anisakis -somatic mutation type"Forza"-[L] (↑2 ↓0)
  DEMOTE  12.1 -> 12.0 | Begin (↑0 ↓2)
  DEMOTE  12.1 -> 12.0 | Close the World feat.a☆ru (↑0 ↓1)
