rank_by_wp,a_title,a_diff,actual_a,slope,intercept,r,n,predicted_b,weight_r2,w_times_pred,predicted_over_max
635,"ピアノ独奏無言歌 ""灰燼""",ANOTHER,3812,0.363364,2595.9863,0.8262,198,3981.1285,0.682537,2717.2682,True
636,fixer,ANOTHER,3592,0.506192,2176.7787,0.8245,262,3995.0211,0.679862,2716.0649,True
637,IDC feat.REVERBEE (Mo'Cuts Ver),ANOTHER,2263,1.357145,986.9682,0.8173,231,4058.1881,0.667993,2710.8413,True
638,Digitank System,ANOTHER,2183,1.731915,282.3121,0.8159,274,4063.0818,0.665613,2704.4398,True
639,CHECKING YOU OUT,ANOTHER,1382,2.474455,632.3851,0.8098,205,4052.0815,0.655719,2657.0253,True
640,Beyond Evolution,ANOTHER,3889,0.330675,2607.9017,0.8258,244,3893.8976,0.681912,2655.2954,False
641,Lords Of The Roundtable,ANOTHER,3091,0.735997,1721.9142,0.8144,325,3996.8805,0.663291,2651.0962,True
642,Marie Antoinette,LEGGENDARIA,3138,0.809241,1316.1470,0.8281,221,3855.5449,0.685751,2643.9438,False
643,聖人の塔,LEGGENDARIA,4330,0.352865,2411.0901,0.8144,246,3938.9947,0.663278,2612.6491,False
644,Sinus Iridum,ANOTHER,3408,0.462739,2434.1224,0.8063,211,4011.1373,0.650160,2607.8816,True
645,GuNGNiR,LEGGENDARIA,4589,0.330280,2444.8557,0.8088,281,3960.5094,0.654187,2590.9146,True
646,惑星鉄道,ANOTHER,2931,0.492111,2525.6168,0.8056,258,3967.9952,0.649010,2575.2680,True
647,SAMURAI-Scramble,ANOTHER,2440,1.193687,1060.8316,0.8049,373,3973.4282,0.647920,2574.4617,True
648,DEATH†ZIGOQ ～怒りの高速爆走野郎～,LEGGENDARIA,4763,0.260478,2706.9148,0.8041,278,3947.5711,0.646593,2552.4722,False
649,Illegal Function Call,LEGGENDARIA,3706,0.403403,2472.3339,0.8011,259,3967.3449,0.641815,2546.3023,True
650,m1dy Deluxe,ANOTHER,2557,0.963439,1443.6057,0.7995,168,3907.1195,0.639255,2497.6439,False
651,DUE TOMORROW,ANOTHER,2082,1.044890,1856.1525,0.7840,252,4031.6143,0.614662,2478.0817,True
652,BREAK OVER,ANOTHER,2387,1.342195,675.0254,0.7989,114,3878.8442,0.638221,2475.5596,False
653,Fascination MAXX,ANOTHER,2544,0.958558,1574.5266,0.7805,334,4013.0983,0.609193,2444.7516,True
654,Mare Nectaris,ANOTHER,3823,0.419897,2386.2044,0.7818,299,3991.4707,0.611148,2439.3787,True
655,The Chase,ANOTHER,2261,0.996864,1799.2650,0.7556,308,4053.1753,0.570873,2313.8487,True
656,Level 5,ANOTHER,3744,0.451513,2330.9687,0.7469,279,4021.4317,0.557787,2243.1016,True
657,Makin' It,ANOTHER,2875,0.721076,1985.6935,0.7417,379,4058.7867,0.550108,2232.7726,True
658,FUTURE is Dead,ANOTHER,2276,1.266460,1071.2798,0.7492,180,3953.7438,0.561304,2219.2540,True
659,灼熱 Pt.2 Long Train Running,ANOTHER,3482,0.396061,2617.7612,0.7232,266,3996.8444,0.523026,2090.4543,True
660,灼熱Beach Side Bunny,ANOTHER,3278,0.431997,2597.6634,0.7077,306,4013.7483,0.500854,2010.3022,True
661,SAMURAI-Scramble,LEGGENDARIA,3013,0.563956,2353.7273,0.7033,226,4052.9275,0.494606,2004.6026,True
662,Skratch Education Lv-1,ANOTHER,3007,0.402813,2777.9527,0.6621,212,3989.2120,0.438351,1748.6754,True
