TITLE	NOTE(SP)					NOTE(DP)				TIME	MOVIE	LAYER
	B	N	H	A	L	N	H	A	L			
beatmania IIDX ▼ △												
DUE TOMORROW	-	470	791	1073	-	470	791	1543	-	1:39	専用:東京食堂(kjk)	
EURO-ROMANCE	-	497	933	1056	-	494	893	1363	-	2:08	10th TRANCE汎用+ミスレイヤー	MAYA
Ganymede	-	571	884	1199	1356	612	951	1363	1391	2:06	CARDINAL GATE汎用+ミスレイヤー	HES
Harmony and Lovely	-	457	902	1127	-	457	896	1122	-	2:00	専用:Ryu☆	
Heavenly Sun (IIDX VERSION)	-	421	806	1060	-	421	805	1060	-	2:00	専用:stm	
INFERNO	-	601	828	1008	-	600	856	1175	-	2:06	専用:東京食堂(matsushita)	
Leaving...	-	396	714	1116	-	386	714	1024	-	1:45	専用:MAYA+ミスレイヤー	MAYA
MINT	-	524	917	1158	-	517	906	1163	-	1:34	7th HOUSE汎用+ミスレイヤー	F-FLY
MOON	-	436	1067	1118	-	436	1048	-	-	1:59	専用:SEKIYAMA with DJ	
Power of Love	-	513	848	1077	-	512	861	1065	-	2:04	10th POPS汎用+ミスレイヤー	F-FLY
So Fabulous !!	-	556	784	1191	-	548	853	1214	-	2:01	専用:HHH/MAYA	
Sun Field	-	287	777	1234	-	449	856	1158	-	1:56	専用:VJ GYO	
The Dirty of Loudness	-	740	1154	1327	-	723	1122	1189	-	1:44	専用:MAYA+ミスレイヤー	MAYA
This is Love	-	473	910	1249	-	489	906	-	-	1:58	専用:chihiro	
tripping contact(teranoid&MC Natsack Remix)	-	646	1020	1258	-	653	968	1367	-	1:59	10th TECHNO汎用+ミスレイヤー	XTC
TYPE MARS(G-Style Mix)	-	571	974	1237	-	576	990	-	-	1:57	6th CYBER汎用+ミスレイヤー	GOLI
waxing and wanding	-	658	997	1457	2000	647	966	1399	2000	2:05	CARDINAL GATE汎用+ミスレイヤー	GOLI
Why did you go away	322	559	904	1166	-	552	901	1165	-	1:57	9th HOUSE汎用+ミスレイヤー	GOLI
WISH(EUROBEAT MIX)	-	532	824	990	-	532	793	988	-	1:48	専用:yagi-denko	
with you…	-	398	580	891	-	398	580	1324	-	1:56	専用:東京食堂(kjk)	
Zenius -I- vanisher	-	493	790	1209	-	492	776	1207	-	2:09	専用:MAYA	
カゴノトリ～弐式～	-	581	944	1325	-	581	978	1586	-	1:57	専用:nono	
華蝶風雪	-	638	1064	1500	2014	626	1041	1481	2135	2:00	CARDINAL GATE汎用+ミスレイヤー	MAYA
タシカナモノ	-	472	726	1026	-	470	797	1191	-	2:04	専用:村上右子	
嘆きの樹	-	902	1281	2000	-	875	1281	2000	-	2:06	CARDINAL GATE汎用+ミスレイヤー	GOLI
虹色	-	488	792	934	-	488	793	934	-	1:48	専用:Otas	
罠	-	283	777	1231	-	374	730	-	-	1:53	10th HOUSE汎用+ミスレイヤー	F-FLY
beatmania IIDX 14 GOLD ▲ ▼ △												
Air Bell	-	499	687	868	-	455	642	794	-	1:53	GOLD HOUSE汎用+ミスレイヤー	MAYA
ANDROMEDA II	-	501	982	1255	-	534	1084	-	-	1:55	8th CYBER汎用+ミスレイヤー	HES
Blind Justice ～Torn souls, Hurt Faiths ～	-	679	1001	1245	-	618	950	1134	-	2:09	専用:MAYA	
Candy Galy	-	800	1308	1798	-	642	863	1348	1872	2:12	専用:kototoi	
CaptivAte～誓い～	-	677	1017	1127	-	710	1078	1319	-	2:05	6th CYBER汎用+ミスレイヤー	mari
CaptivAte～裁き～	214	435	663	897	-	422	822	1110	-	1:48	専用:HES+F-FLY	
CROSSROAD ～Left Story～	-	574	883	1097	-	575	857	1047	-	1:51	GOLD TRANCE汎用+ミスレイヤー	GOLI
Cyber Force	-	637	980	1200	-	610	929	1081	-	2:02	専用:VJ GYO	
Fascination MAXX	-	508	876	1313	-	475	825	1167	-	1:42	GOLD TECHNO汎用	
FIRE FIRE	287	616	927	1405	-	616	962	1162	-	2:07	GOLD TRANCE汎用+ミスレイヤー	GOLI
four-leaf	-	386	642	867	-	386	642	-	-	1:46	専用:tQy	
GOLD RUSH	282	608	764	1199	-	601	851	1186	-	1:41	専用:kototoi	
GRID KNIGHT	-	423	1012	1328	1744	813	1056	1396	1855	2:09	専用:12d	
heaven above	-	418	711	928	-	419	706	921	-	2:06	専用:izm@東京食堂	
High School Love	204	438	788	1106	-	439	771	1123	-	1:56	10th POPS汎用	
INORI	-	701	1330	1614	-	699	1241	1730	-	2:24	専用:ТОЧКА	
KAMAITACHI	-	647	1039	1368	2000	1005	1335	1662	2000	1:57	専用:MAYA	
LASER CRUSTER	-	732	1250	1644	-	696	1254	1721	-	1:57	専用:F-FLY	
Love Again...	-	293	400	538	-	396	533	-	-	1:56	専用:MAYA	
Make Me Your Own	-	451	836	1086	-	451	836	1115	-	1:59	専用:Hozo Arisawa	
METALLIC MIND	-	451	735	832	-	451	736	-	-	1:48	10th TRANCE汎用+ミスレイヤー	GOLI
never...	-	414	691	915	-	413	690	-	-	2:09	GOLD HOUSE汎用	
op.31 叙情	-	319	699	836	-	334	714	858	-	1:55	専用:kaeru	
PHOTONGENIC	-	701	1002	1162	-	747	1086	1409	-	2:01	専用:Ta-k	
Roulette	-	458	741	1073	-	459	753	1075	-	1:57	GOLD TRANCE汎用(色違い)+レイヤー	VJ GYO
Second Heaven	112	500	787	1069	-	500	704	1069	-	2:00	専用:栗雄	
Sense 2007	-	788	1179	1517	-	792	1179	1474	-	1:59	専用:matsu@東京食堂	
smile	-	744	1107	1464	-	766	1145	1628	-	2:15	専用:ackermann	
snow storm	118	403	1173	1409	1709	407	1173	1750	-	2:15	専用:Sachi Yamada	
the shadow	-	618	1084	1480	-	616	1090	1394	-	2:12	専用:Yoshiaki Sano	
The Smile of You	-	472	658	815	-	523	697	904	-	2:17	専用:kototoi	
TRANOID	-	414	929	1141	1546	449	947	1141	1563	2:12	専用:VJ GYO	
VANESSA	-	591	938	1228	1771	588	938	1297	1633	1:40	専用:MAYA	
Watch out!!	-	377	544	837	-	377	544	-	-	1:56	8th HOUSE汎用	
With your Smile	-	366	597	788	-	362	616	786	-	1:43	専用:MatsuTK	
2hot2eat	-	307	612	854	-	311	635	904	-	1:52	専用:Keisuke Sekii	
クルクル☆ラブ～Opioid Peptide MIX～	216	500	766	1144	-	538	816	1182	-	2:04	専用:ミコシバ	
零 - ZERO -	110	596	912	1162	-	601	909	1154	-	2:02	専用:GOLI	
電人、暁に斃れる。	335	785	1255	1725	-	775	1207	1732	-	2:07	専用:kototoi	
花吹雪 ～ IIDX LIMITED ～	-	367	573	719	-	493	615	838	-	1:35	専用:MAYA	
星をこの手に	-	614	933	1099	-	609	962	1267	-	1:56	専用	
ヨシダさん	-	470	728	987	-	523	739	1003	-	2:10	専用:F-FLY	
リグレット	-	666	887	1223	-	661	888	-	-	2:12	専用:ヤング	
beatmania IIDX 15 DJ TROOPERS ▲ ▼ △												
Anisakis -somatic mutation type"Forza"-	-	631	1089	1443	1971	637	1291	1603	1956	2:17	7th TRANCE汎用+ミスレイヤー	XTC
avant-guerre	-	390	694	982	-	390	694	982	-	1:57	"専用:Daisuke Tanabe
Risa Fujii(りったん)
Hideaki Takahashi(ぺりー)"	
Be OK	-	479	902	1215	1679	492	1063	1717	-	1:59	6th RAVE汎用	
beatonic nation	-	640	955	1093	-	664	999	1259	-	2:09	専用:XTC	
Blue Rain	174	514	812	1149	1702	587	803	1037	1662	1:52	GOLD TRANCE汎用+レイヤー	?
Darling my LUV	-	354	512	695	-	345	576	-	-	1:48	専用:高橋秀和&宮川雄一	
Dazzlin' Darlin	172	455	704	1115	-	433	696	1052	-	1:59	専用:Halka	
Digitank System	-	480	815	1096	-	482	813	1175	-	2:03	7th TECHNO汎用+ミスレイヤー	XTC
Do it!! Do it!!	-	538	816	987	1317	435	736	982	1312	1:53	MILITARY SPLASH汎用+ミスレイヤー	HES
end of world	-	523	924	1268	-	523	924	1357	-	2:06	6th CYBER汎用	
evergreen	-	507	720	997	-	519	740	1037	-	2:10	専用:rice.c	
four pieces of heaven	-	481	988	1225	1518	481	965	1264	1560	1:58	MILITARY SPLASH汎用+ミスレイヤー	XTC
Freeway Shuffle	173	411	650	949	-	416	669	916	-	1:43	専用:DanceDanceRevolution SuperNOVA2	
ICARUS	-	694	1097	1301	2000	687	1038	1336	2000	2:01	MILITARY SPLASH汎用+ミスレイヤー	MAYA
in the Sky	-	697	1079	1279	-	681	1040	1241	-	2:01	専用:Daisuke Tanabe	
Kick Out 仮面	-	596	800	1022	-	599	842	1356	-	※	専用:VJ GYO+ミスレイヤー	VJ GYO
LOVELY STORM	-	679	1105	1429	-	733	1249	1418	-	2:05	10th TRANCE汎用+レイヤー	ackermann & kototoi
madrugada	-	363	631	945	-	319	623	942	-	1:57	専用:Yumi Yoshimura, Hide Takahashi	
MAX LOVE	-	730	1100	1348	-	752	1130	1572	-	2:17	8th POPS汎用+6th DANCE汎用	
MENDES	-	573	1353	1831	-	569	1231	1922	-	1:59	MILITARY SPLASH汎用+ミスレイヤー	G-WEAPON (GOLI)
MENTAL MELTDOWN	-	609	1176	1443	-	607	1024	1335	-	1:58	専用:Manabu Komatsu,Kenta Ozaki	
NEW GENERATION -もう、お前しか見えない-	-	541	1011	1342	1895	556	969	1278	1834	2:03	8th POPS汎用	
oratio	-	747	1056	1493	-	706	1061	1406	-	2:06	専用:kaeru	
PARANOiA ～HADES～	-	558	954	1395	-	600	989	1532	-	1:40	専用:DDR SuperNOVA2	
PROMISE FOR LIFE	-	305	753	875	-	286	570	746	-	2:09	GOLD TRANCE汎用	
REMINISCENCE	-	643	939	1183	-	643	946	1183	-	2:05	10th TRANCE汎用+ミスレイヤー	G-FantasyBell(GOLI)
Rising in the Sun(original mix)	-	477	864	1202	-	477	839	1187	-	2:01	専用:Masahiko Yagi,Ryota Saito	
Ristaccia	-	609	1032	1386	-	400	936	1174	1265	2:17	専用:MAYA	
satellite020712 from "CODED ARMS"	-	680	983	1293	-	831	1199	1656	-	1:50	専用:kototoi	
satfinal	-	548	722	963	-	545	805	1016	-	1:51	8th HOUSE汎用+レイヤー	VJ GYO
scar in the earth	-	335	565	766	-	383	592	831	-	2:07	専用:MAYA	
SOUND OF GIALLARHORN	257	708	1405	1668	-	704	1227	1599	-	2:15	専用:alo	
State Of The Art	-	552	790	1570	-	541	806	1756	-	2:03	専用:KAISEI＆TETSU-LOW	
STEEL NEEDLE	-	560	1121	1269	1701	575	1103	1367	1676	2:00	MILITARY SPLASH汎用+ミスレイヤー	VJ GYO
switch	-	407	790	1069	-	407	790	1069	-	1:42	9th HOUSE汎用	
THE DEEP STRIKER	274	556	1150	1528	1778	622	1133	1451	1728	2:00	GOLD TECHNO汎用+ミスレイヤー	G-MIRAGE(GOLI)
the trigger of innocence	-	451	592	924	1558	597	1019	1527	2032	2:00	専用:Keizo,Swanico(イラスト)	
Time to Air	-	640	1064	1458	1888	634	985	1325	1864	2:01	GOLD TRANCE汎用	
TRIP MACHINE PhoeniX	-	353	842	935	-	333	762	929	-	1:33	専用:DDR SuperNOVA2	
TROOPERS	-	625	1216	1496	-	625	1197	1616	-	2:02	専用:XTC+ミスレイヤー	XTC
Übertreffen	-	555	1019	1280	1655	536	953	1171	1583	1:42	"GOLD TECHNO汎用
[L]SPADA HARDCORE汎用+ミスレイヤー"	[L]BEMANI Designers "GOLI"
Wanna Party?	-	386	599	762	1300	329	616	910	1326	1:43	専用:MASAHIKO SUZUKI & YUTA UJIIE	
2 tribe 4 K	-	452	684	1402	-	419	666	1233	-	2:02	専用:TQY	
エコ爺	174	424	678	923	-	424	678	922	-	2:04	専用:swift3＆TETSU-LOW	
高高度降下低高度開傘	-	466	777	1005	-	475	842	1204	-	1:59	専用:Taiyo Yamamoto	
少年A	-	642	1144	1449	-	681	1150	1356	-	2:19	7th TRANCE汎用+ミスレイヤー	G-RENAISSANCE(GOLI)
走馬灯 -The Last Song-	-	258	464	673	-	258	465	-	-	2:09	専用:F-FLY	
華爛漫 -Flowers-	169	510	804	1029	1597	592	801	1011	1719	1:47	10th POPS汎用	
マチ子の唄	-	418	662	901	-	428	636	879	-	1:58	専用:Tomokazu Ohishi,Chiho Kobayashi	
ミラージュ・レジデンス	-	575	1097	1345	1676	575	1073	1537	-	2:05	専用:stm	
beatmania IIDX 16 EMPRESS ▲ ▼ △												
ALL I NEED YOUR LOVE	-	559	873	1081	-	559	873	1081	-	2:00	専用:Shingo	
ALL MY TURN -このターンに、オレの全てを賭ける-	-	533	971	1314	-	606	944	1224	-	2:01	6th RAVE汎用	
Arabian Rave Night	-	655	1166	1504	1888	655	1161	1605	1991	2:02	専用:Tomokazu Ohishi	
B4U(BEMANI FOR YOU MIX)	-	615	1205	1810	2360	764	1189	1519	1986	2:08	専用:VJ GYO	
Bahram Attack-猫叉Master Remix-	-	535	997	1314	1640	618	1051	1443	1709	2:14	専用:Hide Takahashi	
BITTER CHOCOLATE STRIKER	-	564	1142	1990	-	564	1141	1574	2038	2:14	専用:Taiyo Yamamoto	
BRIDAL FESTIVAL !!!	-	502	764	1077	-	590	820	970	-	2:01	専用:Fukutomi WAVE	
CaptivAte2～覚醒～	123	564	894	1221	-	493	805	1235	-	1:52	7th TRANCE汎用	
Colorful Cookie	338	570	1143	1773	-	716	1220	1811	-	1:56	専用:Taiyo Yamamoto	
Cyber Force -DJ Yoshitaka Remix-	-	553	944	1278	-	694	1079	1292	-	2:13	専用:NAGI	
Flash Back 90's	-	467	964	1179	1470	526	815	1001	1318	2:07	専用:miuraちゃん	
Fly Above	-	482	815	1016	-	412	894	1061	-	2:11	専用:Taiyo Yamamoto	
Go Beyond!!	276	547	899	1166	-	528	822	1087	-	1:58	専用:Hideaki Tsutsumi	
HYPERION	-	572	1072	1385	-	572	1047	1391	-	2:05	専用:alo	
I'm Screaming LOVE	-	308	666	851	-	456	605	913	-	1:55	専用:hamon&Swaniko	
Jack	-	465	714	1086	-	466	852	1252	-	1:43	4th TECHNO汎用	
Just a Little Smile	-	415	683	1272	-	496	878	1276	-	2:02	専用:12d(Younosuke Yasuda)	
Kung-fu Empire	-	760	1327	1657	1999	607	1301	1659	1999	2:12	専用:Manabu Komatsu	
Marie Antoinette	-	558	1018	1312	1618	478	901	1385	1500	2:07	専用:Miki Fuyama	
Mind Mapping	261	443	627	923	1135	353	667	937	1295	2:02	専用:Manabu Komatsu	
Monkey Dance '09	-	437	895	1142	-	437	870	1257	-	2:00	8th POPS汎用	
NΦ CRIME	147	414	736	951	1211	526	846	1012	1285	1:51	専用:「クロスファイア」テーマムービー	
naughty girl@Queen's Palace	-	433	869	1088	1380	433	698	853	1276	1:54	7th TECHNO汎用+ミスレイヤー	XTC
neogenesis	-	504	682	864	1180	476	675	1034	1390	1:58	専用:alo	
Programmed World	-	476	910	1161	-	476	941	1181	-	2:08	4th CYBER汎用	
Punch Love♡仮面	-	565	888	1269	1636	692	1028	1355	1771	2:02	専用:VJ GYO	
Queen's Tragedy	-	428	872	1135	-	431	812	1012	-	2:07	専用:Tomokazu Ohishi	
Secrets	-	638	1253	1592	2116	637	1195	1797	1951	2:00	専用:KAIRIKI	
smooooch・∀・	199	418	830	1089	1436	448	813	1166	1475	1:55	専用:MAYA	
SOLITON BEAM	-	741	1071	1187	-	710	1138	1366	-	2:08	専用:Ta-k	
THANK YOU FOR PLAYING	-	412	858	1090	1534	437	863	1107	1182	1:45	専用:XTC	
THE SHINING POLARIS(kors k mix)	-	664	1061	1645	-	656	1006	1631	-	2:09	専用:rice.c	
thunder HOUSE NATION Remix	-	544	838	1242	1954	577	840	1296	1873	2:00	8th HOUSE汎用	
Turii ～Panta rhei～	186	449	1051	1347	-	440	1006	1280	-	2:09	専用:MAYA	
V2	400	751	1620	1810	-	746	1408	1686	-	2:13	専用:VJ GYO	
Y&Co. is dead or alive	-	569	921	1478	-	549	936	1414	-	2:05	専用:Steins	
You'll say "Now!"	-	629	962	1276	-	537	940	1299	-	2:07	3rd CYBER汎用	
3y3s	280	772	1306	1871	-	804	1461	1882	-	2:07	10th TRANCE汎用+ミスレイヤー	XTC
翼	-	454	765	988	1258	503	838	1086	1447	2:07	専用:Yoshinori Asami	
天空脳番長危機十六連打	-	525	1115	1323	-	525	1087	1309	-	1:57	8th TECHNO汎用	
鉄甲乙女-under the steel-	-	474	826	1098	-	534	850	1220	-	2:00	10th AMBIENT汎用+ミスレイヤー	XTC
ハリツヤランデヴー	-	482	1078	1251	-	482	939	1248	-	1:52	専用:tateha	
卑弥呼	-	643	1442	2119	-	640	1396	2194	-	2:12	GOLD TECHNO汎用+ミスレイヤー	GOLI
不沈艦CANDY	306	601	1014	1682	-	601	1018	1486	-	2:03	専用:Taiyo Yamamoto	
まほろば	-	398	737	1033	-	445	708	1127	-	1:56	専用:Hideaki Tsutsumi	
ミッドナイト堕天使	-	500	827	1398	-	548	895	1552	-	1:59	10th TRANCE汎用	
山岡晃の「クイズ！家事都合！」	-	339	700	1035	-	452	772	1012	-	1:44	専用:上野コオイチ	
凛として咲く花の如く	198	672	1087	1398	1595	659	1094	1443	1766	2:06	専用:shio	
beatmania IIDX 17 SIRIUS ▲ ▼ △												
AIR RAID FROM THA UNDAGROUND	276	592	952	1189	1523	587	944	1225	1503	2:04	専用:Tomokazu Ohishi	
Almagest	-	519	1146	1629	-	506	1117	1764	-	1:41	PARALLEL ROTATION汎用(紺)+ミスレイヤー	林林
Bad Maniacs	-	667	989	1656	-	573	1074	1606	-	1:57	9th TECHNO汎用+ミスレイヤー	MAYA
bass 2 bass	141	366	638	970	-	472	888	1085	-	1:39	10th POPS汎用	
beatchic☆仮面～好き、でいさせて～	-	507	836	1017	-	524	987	1190	-	2:02	専用:VJ GYO+ミスレイヤー	
BEAUTIFUL ANGEL	-	321	921	1254	-	433	954	1444	-	2:02	専用:suzuki masahiko&kensuke saito	
being torn the sky	-	331	613	998	-	278	555	864	-	1:57	10th AMBIENT汎用+ミスレイヤー	MAYA
bloomin' feeling	198	643	980	1313	-	646	1109	1384	-	1:35	専用:Steins	
CaptivAte～裁き～(SUBLIME TECHNO MIX)	-	523	837	1231	-	530	847	1151	-	2:14	PARALLEL ROTATION汎用(白)	
D	-	770	1004	1313	-	598	1021	1257	-	2:02	PARALLEL ROTATION汎用(緑)+ミスレイヤー	MAYA
DAWN -THE NEXT ENDEAVOUR-	-	831	1369	1577	-	871	1393	1615	-	2:28	専用:ta-k	
Dazzlin' Darlin-秋葉工房mix-	-	403	767	1053	-	474	818	1140	-	1:51	PARALLEL ROTATION汎用(緑)	
DESIRE	-	477	1004	1446	-	531	872	1327	-	1:59	専用:alo	
Do Back Burn	-	364	728	1078	-	456	788	1096	-	1:42	専用:Manabu Komatsu (WelzAnimationStudios Co.,ltd.)	
DOMINION	-	635	1194	1636	-	601	1180	1631	-	2:04	SIRIUS CYBER汎用+ミスレイヤー	XTC
DROP	-	435	1115	1337	-	390	977	1268	-	2:05	専用:小美野昌史	
Elisha	217	462	754	1152	-	481	822	1390	-	2:06	専用:Shinichiro Matsuda	
Empire State Glory	-	563	928	1329	-	596	1041	1351	-	1:57	8th CYBER汎用	
eRAseRmOToRpHAntOM	-	787	1340	1686	-	788	1281	1798	-	2:25	専用:pam	
Evans	304	628	1121	1440	-	679	1046	1438	-	1:45	10th TRANCE汎用	
EXUSIA	-	628	1417	1964	-	887	1392	1980	-	2:08	PARALLEL ROTATION汎用(青)+ミスレイヤー	XTC
G59	-	906	1210	2000	-	652	1210	2000	-	2:10	PARALLEL ROTATION汎用(白)+ミスレイヤー	林林
GALGALIM	-	733	1036	1208	-	708	979	1197	-	1:48	4th CYBER汎用	
GOLDEN CROSS	-	559	1072	1765	-	619	970	1529	-	2:01	専用:ackermann	
Hydrogen Blueback	-	520	862	1170	1241	573	877	1165	1241	1:54	専用:Hideaki Tsutsumi	
IN THE NAME OF LOVE	273	381	718	975	-	371	722	976	-	1:44	9th HOUSE汎用	
Keep it-秋葉工房mix-	-	521	867	942	-	380	775	1204	-	1:50	専用:VJ GYO	
Last Burning	-	443	840	1197	-	434	840	1059	-	1:57	専用:Shingo	
Light Shine	-	415	582	988	-	559	898	1361	-	1:45	GOLD HOUSE汎用	
MIRACLE MEETS	-	488	807	1128	-	471	857	1051	-	2:00	専用:alo & Minako Endo	
mosaic	-	754	1035	1509	-	728	845	1348	-	1:47	PARALLEL ROTATION汎用(黄)+ミスレイヤー	HES
NEW SENSATION -もう、あなたしか見えない-	-	641	1045	1357	-	650	1022	1574	-	2:04	専用:VJ GYO	
NoN-Fiction Story!	-	360	703	1112	-	471	713	1007	-	1:47	専用:Swaniko、Hironobu Hatta、miura	
Programmed Sun	-	563	960	1309	-	371	885	1135	-	2:03	専用:kei_viva	
quell～the seventh slave～	-	490	926	1646	-	638	944	1752	-	※	専用:ackermann	
Raison d'être～交差する宿命～	-	614	1184	1389	-	564	1028	1836	-	2:10	専用:MAYA	
Red. by Full Metal Jacket	-	517	1062	1643	-	517	1015	1564	-	1:59	SIRIUS CYBER汎用+ミスレイヤー	GOLI
Roots of my way!	-	447	683	1025	-	500	683	1025	-	2:10	GOLD TRANCE汎用	
Session 1 -Genesis-	-	472	841	1240	-	638	871	1170	-	1:54	7th TRANCE汎用	
She is my wife	217	358	801	1002	-	356	795	1020	-	1:56	専用:なかのりょうすけ	
SOLID STATE SQUAD	-	539	1188	1819	1868	539	1188	1913	2033	2:13	専用:12d(Yonosuke Yasuda)	
Sorrows	-	410	848	1241	-	466	880	1274	-	1:58	SIRIUS HOUSE汎用	
Special One	-	435	618	895	-	415	625	900	-	1:37	SIRIUS HOUSE汎用	
THE LAST STRIKER	-	721	995	1327	-	707	1016	1342	-	2:12	専用:ackermann改めリン・ハヤシ	
The Story Begins	-	428	925	1232	-	729	1117	1480	-	2:22	専用:Nobuaki Ebihara(peace Co., Ltd.)	
かずあそび	-	265	600	852	-	352	689	910	-	2:01	GOLD TECHNO汎用+ミスレイヤー	GOLI
コスモス	-	458	762	1049	-	471	778	1012	-	1:48	専用:イシザワ	
サヨナラ・ヘヴン	190	476	709	855	1117	644	815	957	1095	2:05	専用:ackermann a.k.a. akaman	
水上の提督(Short mix from "幻想水滸伝V")	-	357	868	1073	-	357	940	1147	-	2:03	専用:kototoi	
たからもの	-	646	943	1123	1786	636	908	1521	1846	2:12	5th DANCE汎用	
バビロニア	-	422	705	940	-	412	590	951	-	2:09	専用:Fukutomi WAVE	
未来のプリズム	-	351	701	893	-	341	698	967	-	1:55	専用:ES...(Molojun)	
ワルツ第17番 ト短調”大犬のワルツ”	-	669	1214	1684	-	640	1259	2290	-	※	PARALLEL ROTATION汎用(赤)+レイヤー	NAGI
beatmania IIDX 18 Resort Anthem ▲ ▼ △												
Aegis	-	459	717	1202	-	444	728	1109	-	1:48	専用:かーる	
ALBIDA	267	560	1013	1530	-	568	958	1393	-	1:55	GOLD TRANCE汎用	
Answer	-	393	748	1224	-	463	738	1142	-	2:07	専用:小美野昌史	
ANTHEM LANDING	-	489	987	1484	-	555	1164	1258	-	※	"専用:Akira Nightray
(WelzAnimationStudios Co.,ltd.)"	
Believe In Me	-	533	962	1213	-	502	916	1200	-	2:00	4th HOUSE汎用	
BLUST OF WIND	-	427	810	1080	1335	394	784	1113	1451	2:00	"専用:Yuki Yoshida
(WelzAnimationStudios Co.,ltd.)"	
Bounce Bounce Bounce	-	560	909	1293	-	507	874	1230	-	2:10	7th DANCE汎用	
Breaking the ground	-	598	899	1274	-	556	866	1265	-	2:08	WORLD TOUR汎用+レイヤー	NAGI
Broken	-	543	1039	1598	-	551	1096	1420	-	2:17	GOLD TRANCE汎用	
BROKEN EDEN	-	542	917	1182	-	560	992	1235	-	1:53	GOLD TRANCE汎用	
Dances with Snow Fairies	-	743	1165	1623	2135	739	1183	1848	2156	2:07	JAPAN TOUR汎用+レイヤー	NAGI
DAYDREAMER	-	598	885	1265	-	585	822	1304	-	2:09	専用:なかのりょうすけ	
Destiny Sword	-	455	923	1213	-	453	829	1254	-	1:48	"専用:Mitsuhiro Saida,Masayuki Fujimoto
(WelzAnimationStudios Co.,Ltd.)"	
DM STAR～関西 energy style～	-	562	979	1206	-	637	1109	1474	-	2:04	JAPAN TOUR汎用+レイヤー	VJ GYO
Energy Drive	-	448	763	1122	-	452	835	1230	-	2:05	6th CYBER汎用	
Eternal Tears	-	222	551	691	-	266	485	691	-	2:00	6th HOUSE汎用	
Everlasting Resort	-	448	669	959	-	472	750	1058	-	1:53	8th HOUSE汎用	
Fantasia	122	201	781	1123	-	309	783	1216	-	1:46	7th TRANCE汎用	
Golden Palms	-	377	758	1036	1240	503	853	1185	1264	2:01	専用:Vincent Bui,Jean Ledieu	
I FIGHT ME	-	315	718	1068	-	366	781	1172	-	2:04	専用:Vincent Bui	
Kailua	-	268	708	1125	-	429	740	1120	-	1:55	WORLD TOUR汎用+レイヤー	Fukutomi WAVE
Let The Track Flow	-	571	943	1367	-	534	903	1380	-	1:57	WORLD TOUR汎用+レイヤー	VJ GYO
Medicine of love	-	331	558	866	-	328	502	857	-	1:40	5th DANCE汎用	
Mermaid girl	295	500	856	1113	-	629	1003	1310	-	2:06	10th POPS汎用+ミスレイヤー	Fukutomi_WAVE
Never Fade Away	-	398	907	1535	-	529	1104	1598	-	2:05	10th TRANCE汎用+レイヤー	VJ GYO
New Castle Legions	-	510	1042	1418	-	478	990	1587	-	1:59	10th TECHNO汎用	
PARADISE LOST	-	726	1217	1718	-	689	1106	1820	-	2:13	WORLD TOUR汎用+レイヤー	HES
passionate fate	-	589	832	1075	-	573	840	1295	-	1:58	6th RAVE汎用	
perditus†paradisus	-	658	1345	2065	-	665	1341	2109	-	2:10	WORLD TOUR汎用+レイヤー	VJ GYO
Programmed Life	-	557	921	1206	-	551	931	1291	-	1:50	"専用:Manabu Komatsu
(WelzAnimationStudios Co.,ltd.)"	
reunion	281	708	1239	1677	-	822	1243	1893	-	2:03	SIRIUS CYBER汎用+ミスレイヤー	MAYA
Rock Da House	-	456	836	1128	-	453	794	1150	-	1:49	専用:yama_ko	
SABER WING	-	282	952	1438	-	372	928	1549	-	1:47	専用:DDR X	
Sakura Reflection	-	242	815	1190	-	511	879	1395	-	1:45	Resort Anthem DANCE汎用	
sakura storm	-	529	675	1225	-	550	913	1498	-	1:33	専用:DDR II	
Session 9 -Chronicles-	-	393	1238	1852	-	512	1184	1731	-	2:03	専用:alo	
Space Time	-	317	867	1114	-	478	896	1359	-	2:12	"専用:Yumi Yoshimura
(WelzAnimationStudios Co.,ltd.)"	
SPECIAL SUMMER CAMPAIGN!	-	358	833	1509	-	601	1097	1526	-	1:46	6th RAVE汎用	
Stay my side	-	325	541	678	-	301	498	689	-	1:42	5th DISCO汎用	
STELLAR WIND	194	322	963	1370	-	523	930	1373	-	2:02	10th TRANCE汎用	
THE BLACK KNIGHT	-	470	1067	1488	-	518	1086	1490	-	2:02	WORLD TOUR汎用+レイヤー	NAGI
THE DOOR INTO RAINBOW	-	409	873	1123	-	425	923	1289	-	2:06	専用:pam,Ta-k(DisBound Dimension,ltd.)	
THE FALLEN	-	468	780	1377	-	529	925	1235	-	1:51	8th CYBER汎用	
Tropical April	-	827	1174	1395	-	636	1071	1388	-	2:03	Resort Anthem DANCE汎用+レイヤー	VJ GYO
Vermillion	-	272	598	1045	-	276	743	1091	-	1:31	専用:HES	
Watch Out Pt.2	-	599	1029	1506	-	616	961	1322	-	1:50	専用:三嶽大輔	
WISE UP!	174	249	596	803	1320	284	487	792	1316	1:45	10th HOUSE汎用	
Wuv U	-	208	672	861	-	623	804	1089	-	1:37	10th POPS汎用	
XANADU OF TWO	-	505	882	1382	1729	551	879	1329	1817	2:11	8th POPS汎用	
