TITLE	NOTE(SP)					NOTE(DP)				TIME	MOVIE	LAYER
	B	N	H	A	L	N	H	A	L			
beatmania IIDX ▼ △												
sync	-	549	982	1204	-	796	1030	1208	-	2:02	専用:shiro	
THE CUBE	-	374	644	682	-	374	645	1113	-	1:53	専用:VJ GYO	
THE SHINING POLARIS	-	485	667	799	-	485	665	-	-	1:55	専用:Yasi	
V	173	646	1272	1519	-	757	1385	1504	-	2:08	専用:VJ GYO	
beatmania IIDX 6th style ▲ ▼ △												
BALLAD FOR YOU～想いの雨～	-	297	387	537	-	375	546	-	-	1:45	6th HOUSE汎用	
Blueberry Stream	-	429	770	846	-	598	817	868	-	1:41	専用:VJ GYO	
Buffalo	-	511	744	932	1287	479	744	932	1260	1:47	専用:VJ YUZ	
Colors (radio edit)	-	751	1011	1258	-	714	1099	1255	-	2:00	専用:VJ YUZ	
DIVE ～INTO YOUR HEART～	-	656	945	1066	-	623	998	1083	-	2:03	専用:VJ GYO	
fly through the night	-	452	688	863	-	452	688	981	-	1:58	専用:shiro	
Free Style	-	473	571	664	-	473	579	-	-	1:40	6th DANCE汎用	
Frozen Ray (original mix)	-	669	897	909	-	428	839	937	-	1:56	専用:VJ YUZ	
G2	-	752	942	1188	-	665	830	1377	-	2:03	専用:VJ GYO	
L'amour et la liberté	-	501	811	1025	-	501	784	1113	-	1:47	専用:shiro	
Linus	-	489	789	1105	-	585	1007	1210	-	1:48	専用:shiro	
NEMESIS	-	524	839	973	-	667	977	1367	-	2:03	専用:VJ YUZ,GOLI(イラスト)	
rottel-da-sun	-	417	692	936	-	418	693	-	-	1:31	専用:GOLI	
route 80s	-	457	614	766	-	562	765	900	-	1:32	専用:HES	
SOMETHING WONDERFUL	-	471	688	1003	-	458	690	1003	-	2:02	専用:Yasi	
Summer Vacation(CU mix)	-	667	949	-	-	984	1328	-	-	1:44	専用:VJ YUZ	
Take It Easy	-	760	1229	1282	-	745	1356	-	-	2:06	6th DANCE汎用	
VJ ARMY	-	660	904	1149	-	654	872	1182	-	1:54	専用:shiro / HES / GOLI / VJ GYO	
19,November	-	560	733	910	-	589	733	1045	-	2:03	専用:good-cool	
こっちを向いてよ	-	438	667	703	-	625	767	1127	-	1:51	6th DANCE汎用	
