SP					DP				BPM	GENRE	TITLE	ARTIST	
B	N	H	A	L	N	H	A	L					
beatmania IIDX ▼ △													
-	4	7	-	-	4	6	-	-	130	NEW ROMANTIC	RISLIM	ric	
-	4	6	8	-	5	8	"[CN]
8"	-	150	SOUND TRACK	sometime	Aya	
-	5	7	8	-	7	10	-	-	130	HOUSE	Spin the disc	good-cool	
-	5	7	9	-	4	6	11	-	150	HYPER EUROBEAT	STILL IN MY HEART	NAOKI	
-	4	6	-	-	5	7	-	-	136	AMBIENT	still my words	TaQ feat. Meg	
-	6	8	10	-	7	9	11	-	167	TRANCE	sync	OutPhase (TaQ/dj TAKA)	
-	4	6	7	-	4	6	11	-	178	DRUM'N'BASS	THE CUBE	DJ SUWAMI	
-	5	7	8	-	6	8	-	-	147	EPIC TRANCE	THE SHINING POLARIS	L.E.D. feat. Sana	
2	5	10	12	-	6	10	11	-	150	PROGRESSIVE	V	TAKA	
beatmania IIDX 6th style ▲ ▼ △													
-	4	5	7	-	5	8	-	-	65	BALLAD	BALLAD FOR YOU～想いの雨～	NM feat.Thomas Howard	
-	5	7	8	-	7	9	10	-	138	HOUSE	Blueberry Stream	dj TAKA	
-	5	7	10	11	4	8	10	11	108	ROCK	Buffalo	good-cool feat. Hideo Suwa	
-	6	9	12	-	6	10	12	-	150	TRANCE	Colors (radio edit)	dj TAKA	
-	5	8	10	-	5	8	10	-	155	HYPER TRANCE EURO BEAT	DIVE ～INTO YOUR HEART～	NAOKI feat.PAULA TERRY	
-	4	7	8	-	4	8	10	-	140	TRANCE	fly through the night	Mr.T	
-	5	6	7	-	6	6	-	-	132	DANCE POP	Free Style	Shapes	
-	6	9	9	-	5	9	9	-	156	TRANCE	Frozen Ray (original mix)	dj TAKA	
-	8	9	11	-	6	7	12	-	170	DRUM'N'BASS	G2	Aya	
-	5	8	10	-	5	8	10	-	140-145	TRANCE	L'amour et la liberté	NAOKI underground	
-	5	9	11	-	5	9	11	-	160-176	LOUNGE POP	Linus	LEGO STUDIO	
-	5	9	11	-	7	10	12	-	164	TECHNO	NEMESIS	D.J.SETUP	
-	5	8	10	-	5	8	-	-	200	ROTTERDAM TECHNO	rottel-da-sun	sampling masters MEGA	
-	6	8	9	-	7	11	12	-	122	NOISY	route 80s	sampling masters MEGA	
-	6	8	"[CN]
10"	-	4	8	"[CN]
11"	-	150	EPIC TRANCE	SOMETHING WONDERFUL	L.E.D.	
-	6	9	-	-	9	12	-	-	135	TRIP HOP	Summer Vacation(CU mix)	OutPhase	
-	7	10	11	-	6	11	-	-	205	INSTRUMENTAL	Take It Easy	Aya	
-	6	9	10	-	6	8	10	-	135-160	ALL MIX	VJ ARMY	good-cool	
-	5	6	8	-	5	7	10	-	125	HOUSE	19,November	good-cool	
-	5	6	7	-	6	9	11	-	128	SOUL	こっちを向いてよ	vivi	
beatmania IIDX 7th style ▲ ▼ △													
-	6	10	12	-	8	11	12	-	93-191	RENAISSANCE	A	D.J.Amuro	
-	6	8	9	-	8	10	-	-	125	ALTERNATIVE HOUSE	AVE DE RAPINA	Shawn The Horny Master	
-	5	7	9	-	6	7	9	-	130	FILTER HOUSE	Bad Routine	D.J. Spugna	
-	4	5	7	-	4	5	9	-	166	12 BEAT	Burning Heat! (Full Option Mix)	Mr.T with Motoaki.F	
-	5	6	9	-	4	6	12	-	120	BIG BEAT	Cheer Train	Fuzita Blender	
-	5	6	8	-	5	6	-	-	160	HYPER ROCK BEAT	D2R	NAOKI	
-	5	6	8	-	4	6	-	-	155	HYPER EUROBEAT	DESTINY	NAOKI feat.Paula Terry	
-	4	8	8	-	5	9	11	-	140	PROGRESSIVE JAZZ	foreplay	Osamu Kubota	
-	3	5	6	-	6	7	-	-	40-83	HIP HOP&SOUL	Glorious Days	Noria	
-	6	7	8	-	6	8	10	-	126	HOUSE	Happy Wedding	ASKA	
-	5	8	9	-	6	10	11	-	155	EUROBEAT	Last Message	good-cool feat. Meg	
-	4	6	7	-	6	7	-	-	130	AMBIENT POP	Let the Snow Paint Me	Sana	
-	5	7	9	-	5	7	-	-	167	NEW WAVE	Love Me Do	AKIRA YAMAOKA	
-	7	10	12	-	7	10	12	-	12-300	HARDCORE TECHNO	MAX 300	Ω	
-	4	7	9	-	4	7	9	-	125	POPS	Somebody Like You	good-cool	
-	4	9	11	-	3	9	12	-	128	HOUSE	Spica	D.JW	
-	8	10	11	-	8	10	12	-	155	TECHNO	stoic	TaQ	
-	6	9	9	-	6	10	11	-	144	TRANCE	Tomorrow Perfume	dj TAKA	
-	6	9	10	-	7	9	10	-	152	TRANCE	traces	TaQ	
-	5	9	10	11	5	8	10	11	160	ELECTROSHOCK	ZERO-ONE	Mr.T	
-	6	10	10	-	7	12	12	-	83-148	ORCHESTRAL	革命	dj TAKA with NAOKI	
beatmania IIDX 8th style ▲ ▼ △													
-	6	9	9	-	7	9	-	-	125	BIG BEAT	abstract	TaQ	
-	3	5	7	-	3	6	7	-	40-148	INSTRUMENTAL	airflow	Mr.T	
-	4	8	9	-	7	8	10	-	180	DRUM'N'BASS	ALL RIGHT	RAM	
-	5	8	9	-	5	7	9	-	145	TRANCE	Attitude	Y&Co.	
-	4	5	8	-	5	6	-	-	148	テクノ歌謡	bit mania	AKIRA YAMAOKA	
-	6	7	11	-	6	7	10	-	155	EUROBEAT	Blame	good-cool feat. Jeff Coote	
-	5	6	8	-	5	7	8	-	144	EURO GROOVE	CELEBRATE NITE	N.M.R	
-	5	9	10	-	6	10	10	-	155	EUROBEAT	Colors -Y&Co. Eurobeat Remix-	dj TAKA (remixed by 横田商会)	
-	5	7	9	-	4	8	9	-	131-140	GARAGE HOUSE	dual control	Mr.T	
-	4	9	11	-	5	10	11	-	155	PSYCHEDELIC TECHNO	Giudecca	D.J.SETUP	
-	4	8	11	-	5	8	10	-	140	GIRL ROCK	Halfway of promise	Yu Takami feat. Shihori Nakane	
-	6	8	9	-	6	8	10	-	152	GOA TRANCE	HYPER BOUNDARY GATE	L.E.D.LIGHT	
-	5	9	10	11	5	10	11	12	180	RAVE	LAB	RAM	
-	4	6	8	10	4	5	9	11	180	HARD CHANSON	LOVE IS ORANGE	Orange Lounge	
-	4	6	9	-	6	9	10	-	134	2 STEP	Luv 2 Feel Your Body	Shoichiro Hirata	
-	5	9	9	-	5	10	11	-	188	BEAT ROCK	memories	TAKA	
-	4	7	9	-	5	6	9	-	155	EUROBEAT	Monkey Dance	Y&Co.	
-	5	9	11	-	5	10	12	-	174	CUDDLECORE	murmur twins	yu_tokiwa.djw	
-	4	7	9	-	8	8	9	-	144	TECHNO	MUSIC TO YOUR HEAD	SLAKE	
-	5	7	12	-	4	9	10	-	135	DISCO	PLEASE DON'T GO	ASLETICS	
-	5	9	11	-	4	10	11	-	148	TRANCE	rainbow flyer	dj TAKA	
-	6	9	10	-	8	10	-	-	155	TECHNO	symbolic	TaQ	
-	6	8	9	-	5	9	11	-	135	HOUSE	thunder	Lion MUSASHI	
-	4	8	10	-	4	7	10	-	93	HIP HOP	WAR GAME	ASLETICS	
-	3	5	5	-	4	5	-	-	122	POPS	World Wide Love	MTO	
-	5	9	11	-	5	8	11	-	158	ELECTROSHOCK	xenon	Mr.T	
-	5	7	8	-	5	6	9	-	145	J-TRANCE	蒼い衝動	NAOKI feat.YUKI	
-	7	10	12	-	8	10	12	-	13-320	SPIRITUAL	桜	Reven-G	
beatmania IIDX 9th style ▲ ▼ △													
3	7	10	10	-	6	9	10	-	171	TRANCE CORE	Abyss -The Heavens Remix-	dj TAKA Remixed by Ryu☆	
-	6	9	9	-	6	9	10	-	180	RAVE	ACT	RAM	
-	4	6	10	-	4	6	10	-	100	ELECTRONICA	ADVANCE	SLAKE	
-	2	5	"[HCN]
9"	-	2	6	"[HCN]
9"	-	130	ENSEMBLE	ATOMIC AGE	SHUNZZY	
-	5	7	8	-	4	7	-	-	148	NRG	BAD BOY BASS!! (dj Remo-con MIX)	Y&Co.	
-	5	6	10	-	6	9	10	-	130	SPIRITUAL	bag	Reven-G	
-	4	8	9	-	3	8	10	-	150	ROCOCO TEK	BRIGHTNESS DARKNESS	SPARKER	
-	5	8	10	-	6	10	-	-	160-188	HEALIN' HARDCORE	Cradle	positive MA feat.akino	
-	7	10	-	-	9	11	-	-	125	MIXTURE	Distress	dj TAKA Remixed by TaQ	
-	6	8	10	-	8	10	-	-	145	TRANCE	e-motion 2003 -romantic extra-	e.o.s. Remixed by dj TAKA	
-	4	7	10	-	4	7	10	-	100-200	FUNK SHUFFLE	fun	Mr.T	
-	4	8	9	-	3	8	11	-	160	TURKISH PIANO'N'BASS	Golden Horn	Osamu Kubota	
-	5	8	10	-	6	8	-	-	152	EUROBEAT	HYPER EUROBEAT (2DX style)	NAOKI feat.PAULA TERRY	
-	4	6	7	-	4	6	8	-	142	EUROBEAT	I Was The One (80's EUROBEAT STYLE)	good-cool Remixed by NAOKI	
-	6	9	10	-	8	11	12	-	※	DRUM'N'BASS	Karma	TaQ	
-	3	6	8	-	7	9	10	-	142	SOUL	lights	flare	
-	5	8	11	-	6	8	12	-	130	TECHNO	Logic Board	dj nagureo	
3	5	9	10	-	4	7	9	-	177	J-HAPPY HARDCORE	LOVE♡SHINE	小坂りゆ	
-	6	9	10	-	7	10	12	-	155	TECHNO	lower world	D.J.SETUP	
-	5	9	10	-	5	9	10	-	130	GOSPEL	Make A Difference	Lala Moore with CoCoRo*Co	
-	4	8	9	-	4	8	9	-	158	EUROBEAT	MARIA (I believe... )	NAOKI feat.PAULA TERRY	
-	5	10	12	-	4	11	12	-	130-160	POST ROCK	moon_child	少年ラジオ	
-	7	10	12	-	7	8	10	12	155	HARDCORE RAVE	one or eight	sampling masters AYA	
-	5	8	10	-	5	8	10	-	73-290	JUNGLE MIXTURE	PARANOIA survivor MAX	290	
-	6	9	11	-	7	11	12	-	155	TRANCE	quasar	OutPhase	
-	5	9	10	-	5	7	10	-	150	PSYCHEDELIC	Quickening	dj TAKA	
-	4	6	10	-	4	10	-	-	100	R&B	Really Love	大部真由美	
-	4	6	11	-	6	9	12	-	132	ELECTRO 2 STEP	RISLIM -Remix-	ric Remixed by Hisashi Nawata	
-	6	9	10	-	6	9	11	-	200	GABBA	rottel-the-Mercury	sampling masters MEGA	
-	4	8	9	-	7	10	11	-	129	HAPPY HANDBAG	Silvia Drive	dj TAKA feat.Noria	
-	5	7	10	-	5	8	10	-	180	DRUM'N'BASS	SNOW	RAM	
-	4	8	9	-	5	8	-	-	140	TRANCE	STAR FIELD	SADA	
-	5	8	10	-	5	9	11	-	180	HAPPY HARDCORE	Sweet Sweet♡Magic	jun	
-	4	7	11	-	6	7	11	-	114	HIPHOP	SWEETEST SAVAGE	ASLETICS	
-	4	6	"[CN]
9"	-	5	8	"[CN]
10"	-	130	HOUSE	真夏の花・真夏の夢	Sana	
-	4	5	7	-	3	6	-	-	146	ボデー	ライオン好き	AKIRA YAMAOKA	
beatmania IIDX 10th style ▲ ▼ △													
-	5	7	8	-	5	8	10	-	145	PSYCHEDELIC TRANCE	ALIEN TEMPLE	PINK PONG	
-	5	6	9	-	5	9	10	-	136	DREAM TECHNO	ASTRAL VOYAGE	EeL	
-	6	7	10	-	6	7	11	-	160	ITALO POP	BABY LOVE	Noria	
-	6	7	10	-	6	9	10	-	144	2STEP POP TRANCE	Back Into The Light	Sota Fujimori	
-	4	9	9	-	5	9	9	-	160	ROCOCO TEK	Boundary	SPARKER	
-	5	7	9	-	5	8	10	-	158	EUROBEAT	CARRY ON NIGHT (English version)	platoniX (EURO style)	
2	6	8	10	-	5	8	11	-	157	EUROBEAT	Daisuke	Y&Co.	
-	5	9	11	-	5	8	11	-	155	ETHNO HARDCORE	Debtty Daddy	sampling masters AYA	
-	2	4	5	-	3	4	-	-	72	PIANO BALLADE	desolation	Mr.T	
2	5	6	7	-	6	7	9	-	170	HYPER J-POP FOUR	DoLL	TЁЯRA	
-	4	8	10	-	4	8	-	-	158	ELECTROSHOCK	EXE	Mr.T	
-	5	8	10	-	5	10	10	-	140	BREAK BEATS	Feedback	Audio Highs	
-	5	9	10	-	5	9	10	-	180	DRUM'N'BASS	FEEL IT	RAM	
-	4	6	9	-	4	8	10	-	135	NATURAL SOUND	Freezing atmosphere	Twin AmadeuS	
-	5	9	10	-	4	9	12	-	148	GOA TRANCE	GHOST REVIVAL	L.E.D.	
-	4	8	10	-	3	7	11	-	160-220	GAME MUSIC	GRADIUS -FULL SPEED-	Mr.T	
-	5	9	9	11	6	9	10	11	180	RAVE	HIGH	RAM	
-	8	12	12	-	8	10	12	-	155	TECHNO	Innocent Walls	TaQ	
-	6	9	11	-	6	10	12	-	140	TRANCE	Love Is Eternity	kors k	
-	4	9	11	-	4	10	-	-	156	DANCE POP	Lucy	ELE BLOCK	
-	4	10	10	-	4	10	11	-	170	ARTCORE	Narcissus At Oasis	Ryu☆	
-	8	10	11	-	6	10	12	-	172	PROGRESSIVE BAROQUE	No.13	TAKA respect for J.S.B.	
-	5	9	12	-	4	10	12	-	200	HAPPY	One More Lovely	Risk Junk	
-	5	8	9	-	7	9	11	-	148	TRANCE	pandora	dj TAKA feat.Tomomi	
-	7	10	11	-	7	9	11	-	177	HAPPY HARDCORE	rainbow rainbow	Ryu☆	
-	6	9	10	-	6	10	11	-	144	TRANCE	Rise'n Beauty	Sota feat. Cyborg Akemi	
-	5	8	10	-	5	8	10	-	140	TECH HOUSE	SCORE	DJ Remo-con	
-	7	8	9	-	6	9	11	-	140	J-POP	SHOOTING STAR	小坂りゆ	
-	3	8	11	-	6	8	11	-	139	戦艦テクノ	SPACE FIGHT	AKIRA YAMAOKA	
-	5	10	11	-	7	10	12	-	175-200	お江戸テクノ	1st Samurai	sampling masters MEGA	
-	4	7	8	-	4	7	-	-	148	ムートラ(ムードトランス)	システムロマンス	ヒロシ＆チー子	
-	6	10	12	-	8	10	12	-	151	HARD HOUSE	雪月花	Ryu☆	
beatmania IIDX 11 IIDX RED ▲ ▼ △													
-	5	10	12	-	5	9	12	-	154	RENAISSANCE	AA	D.J.Amuro	
3	5	8	9	"[CN]
11"	5	7	8	"[CN]
11"	180	HAPPY HARDCORE	AGEHA	Ryu☆	
-	5	8	11	-	4	9	11	-	150	PSYCHEDELIC GOA TRANCE	ANDROMEDA	Sota Fujimori	
-	5	7	10	-	5	7	9	-	143	TRANCE	awakening	AKIRA YAMAOKA	
-	5	9	11	"[BSS]
12"	6	8	11	"[BSS]
12"	150	HARD DANCE	Be quiet	Ryu☆	
-	5	7	11	-	4	7	12	-	141	TRANCE	BLOCKS	SPARKER	
-	6	7	10	-	5	8	10	-	160	ROCOCO TEK	BREATH	SPARKER	
-	5	6	11	-	4	6	10	-	137	CLICK HOUSE	Click Again	dj REMO-CON	
-	5	8	9	-	5	8	11	-	132-145	AMERICA	Close my Eyes for Me	D-crew feat.DENNIS GUNN(DJ Yoshitaka SCRATCHING)	
-	3	5	10	-	3	5	8	-	116	J-POP	D.A.N.C.E.!	DJ Yoshitaka feat.星野奏子	
-	5	9	10	-	6	9	10	-	165	J-POP	Don't be afraid myself	platoniX with ray.D	
-	2	5	7	-	2	6	-	-	45-94	PIANO BALLAD	earth scape	dj TAKA	
-	5	11	12	-	7	12	12	-	200	HARD ROCK	FAKE TIME	dj REMO-CON	
-	3	6	7	-	4	6	-	-	133	DANCE POP	Fly Away To India	Baby Weapon feat.KAJIL	
-	6	10	11	-	6	12	12	-	175	DRUM'N'BASS	GENOCIDE	dj Killer	
3	9	12	12	-	10	12	12	-	173	NUSTYLE GABBA	gigadelic	teranoid feat.MC Natsack	
-	5	7	8	-	5	7	9	-	171	HAPPY HARDCORE	HORIZON	LIA	
-	6	8	11	-	5	8	11	-	212	BEAT ROCK	KEY	colors	
-	6	9	10	-	7	9	11	-	152-153	PSYCHEDELIC TRANCE	NEBULA GRASPER	L.E.D.	
-	5	8	9	-	6	8	10	-	160	COLORFUL HARDCORE	Raspberry♡Heart(English version)	jun feat. PAULA TERRY	
1	5	9	11	"[BSS]
12"	5	9	11	"[BSS]
12"	165	SPEED RAVE	RED ZONE	Tatsh&NAOKI	
-	5	10	11	-	4	11	-	-	160	HARD SONATA	RESONATE 1794	KOHTA	
-	5	7	11	-	5	9	-	-	162	DRUM'N'BASS	Secret of Love	D.J.SWAN	
-	5	8	9	-	5	9	10	-	155	EUROBEAT	SPEEDY CAT	Y&Co.	
-	5	9	10	-	5	8	12	-	160	MEDIEVAL CHOIR	Sphere	Tatsh feat. K.Nayuki	
-	5	9	11	12	5	9	10	12	154	PSYCHEDELIC TECHNO	spiral galaxy	D.J.SETUP	
-	5	8	10	-	6	9	10	-	144	CYBORG TRANCE	The Hope of Tomorrow	Sota Fujimori	
-	5	7	9	-	4	7	-	-	180	HYPER J-POP FIVE	ＵＬＴｉＭΛＴＥ	TЁЯRA	
-	5	7	11	-	5	8	10	-	126	NATURAL SOUND	Wonder Bullfighter	Twin AmadeuS	
-	3	6	9	-	3	6	-	-	84-168	JAPAN	大桟橋	ウッチーズ	
-	4	8	9	-	4	8	-	-	155	CYBER J-EURO	太陽～T・A・I・Y・O～	NAOKI feat.星野奏子	
-	5	11	12	-	5	10	12	-	165-188	DIRGE	ピアノ協奏曲第１番”蠍火”	virkato	
beatmania IIDX 12 HAPPY SKY ▲ ▼ △													
-	5	9	10	-	5	8	11	-	70-168	GOTHIC METAL	Agnus Dei	あさき	
-	5	8	10	-	4	8	10	-	140	NATURAL SOUND	alla turca con passione	Twin AmadeuS	
-	7	10	11	-	7	10	11	-	181	TRANCE CORE	Aurora	Ryu☆	
-	5	9	11	12	5	9	11	12	160	NOSTALISH REQUIEM	CaptivAte～浄化～	A/I	
-	5	8	10	11	4	9	10	11	115	ACID JAZZ	Catch Me	DJ Yoshitaka feat. ERi	
-	4	8	9	-	4	7	10	-	160	J-POP REMIX	Don't let it go	ウッチーズ	
-	6	10	10	-	5	10	-	-	166	BATTLE2005	double thrash	414	
-	6	9	10	11	7	8	10	11	200	HYPER J-POP SIX	EDEN	TЁЯRA	
-	3	5	8	-	3	5	8	-	182	E-ROCK	EMPTY OF THE SKY	AKIRA YAMAOKA	
-	5	7	9	-	5	8	10	-	150	TECHNO RAVE	First Resolution	good-cool	
-	4	7	10	12	4	7	12	12	220	SWING WALTZ	garden	青野りえ	
-	5	8	10	-	5	8	-	-	145	RAVE	Get'em up to R.A.V.E	Disconation	
-	6	8	10	-	6	9	11	-	170	BROKEN TEK	GREEN EYES	SLAKE	
3	5	7	10	-	6	7	10	-	180	HAPPY HARDCORE	HAPPY☆ANGEL	jun with TAHIRIH	
-	5	8	10	-	5	8	-	-	190	CYBER J-ROCK	I am	有沢みはる from BeForU	
-	5	6	7	-	5	6	8	-	138	CLICK HOUSE	in motion	Ryu☆	
-	5	9	11	12	6	9	12	12	148	TRANCE	INAZUMA	dj TAKA	
-	5	8	9	-	5	7	11	-	152	HAPPY EXTREME	LESSON 5	Risk Junk feat.Erika Mochizuki	
-	5	10	11	12	5	10	11	12	※	PUNK OPERA	Little Little Princess	SHRINE 418	
-	5	8	10	-	4	8	-	-	170	DRUM'N'BASS	Love Magic	D.J.SWAN	
-	5	7	9	-	6	8	9	-	98-147	UK PROGRESSIVE	mind the gap	Osamu Kubota	
-	5	7	9	-	5	10	-	-	147	FUTURE HOUSE	MOON RACE	ELEKTEL	
-	3	5	"[CN]
8"	"[CN]
10"	3	5	"[CN]
8"	"[CN]
10"	116-146	HEART	Pink Rose	Kiyommy＋Seiya	
-	4	8	9	-	5	8	-	-	148	SYNTHESIZED TECHNO	PLASMA	Sota Fujimori	
-	4	6	11	-	4	8	9	-	145	HARD DANCE	Pollinosis	dj REMO-CON	
-	5	8	10	"[CN]
11"	5	8	11	"[CN]
12"	160	EUROBEAT	POODLE	Y&Co.	
-	7	10	12	-	6	10	11	12	152	DIGI-ROCK	rage against usual	dj TAKA feat.Gt.Shintaro	
-	7	10	12	-	6	10	12	-	220	BREAKCORE	SCREAM SQUAD	CALF	
-	7	10	12	12	8	10	11	12	151	TECHNO	Scripted Connection⇒ A mix	DJ MURASAME	
-	7	10	11	12	8	10	11	12	151	TECHNO	Scripted Connection⇒ H mix	DJ MURASAME	
-	6	8	10	11	6	9	10	11	151	TECHNO	Scripted Connection⇒ N mix	DJ MURASAME	
3	5	7	10	-	5	7	11	-	179	MAKINA	SigSig	kors k	
-	5	9	10	-	5	10	-	-	265	MPB	Tizona d'El Cid	TOMOSUKE	
-	6	7	10	12	6	9	9	12	160	HAPPY EURO PARADISE	Twelfth Style	Tatsh&DAYBREAKERS NEXT	
-	5	7	9	-	4	7	9	-	170	J-EUROTRANCE	Under the Sky	南さやか(BeForU) with platoniX	
-	4	8	10	-	4	7	9	-	160	ELECTROSHOCK	vault of heaven	Mr.T	
-	4	9	10	-	4	11	-	-	136-147	ANTHEM TRANCE	Votum stellarum	iconoclasm	
-	3	5	9	-	3	5	9	-	129	DISCO	We are Disっ娘よっつ打ち命	DANCE☆MAN feat. Disっ娘	
3	5	10	11	-	5	10	11	-	170	MEDIEVAL CHOIR	Xepher	Tatsh	
-	5	10	11	-	4	10	11	-	252	SYNTHETIC PROGRESSIVE ROCK	100% minimoo-G	Sota Fujimori	
-	7	8	10	-	5	7	9	-	123	FUNK	オレはビートマニア！お前は何マニア？	DANCE☆MAN	
