title,artist,genre,bpm,sp_b_level,sp_n_level,sp_h_level,sp_a_level,sp_l_level,dp_n_level,dp_h_level,dp_a_level,dp_l_level,sp_b_notes,sp_n_notes,sp_h_notes,sp_a_notes,sp_l_notes,dp_n_notes,dp_h_notes,dp_a_notes,dp_l_notes
LOVE WILL・・・,riewo,TRANCE,144,-,4,4,7,-,4,6,8,-,-,279,379,732,-,330,529,726,-
minimalian,DETROIAN,MINIMAL,141,-,3,8,9,-,3,9,12,-,-,271,555,706,-,263,626,1015,-
Mr.T.(take me higher),Risky Men feat.Asuka-M,DANCE POP,128,-,4,5,10,-,4,5,10,-,-,428,510,889,-,428,510,885,-
starmine,Ryu☆,HAPPY HARDCORE,182,2,5,8,9,-,5,8,12,-,224,456,719,800,-,566,796,1098,-
SWEET LAB,DJ SIMON,LOUNGE HOUSE,120,-,3,6,10,-,6,10,12,-,-,280,496,692,-,445,674,719,-
Voltage (feat. Hidemaru),TaQ,BIG BEAT,30-125,-,5,7,8,-,5,11,-,-,-,480,630,670,-,480,964,-,-
250bpm,AKIRA YAMAOKA,GABBA,250,-,5,8,10,-,4,7,9,-,-,353,528,726,-,351,523,672,-
Abyss,dj TAKA,INTELLIGENCE,142,-,5,7,8,-,7,8,9,-,-,639,817,945,-,771,889,964,-
in my eyes,ric,TRANCE,142,-,5,6,7,-,5,8,10,-,-,484,739,798,-,484,842,1051,-
LOVE AGAIN TONIGHT～for Mellisa mix～,NAOKI feat.PAULA TERRY,HYPER EUROBEAT,150,-,4,5,6,-,4,5,-,-,-,385,501,561,-,466,555,-,-
outer wall,sampling masters MEGA,TECHNO,149,-,5,6,8,-,5,7,10,-,-,474,687,892,-,474,736,902,-
QQQ,TaQ,TECHNO,155,-,5,8,10,-,10,12,-,-,-,621,961,1091,-,1016,1346,-,-
Radical Faith,TaQ,BIG BEAT,114,-,5,6,7,-,6,11,10,-,-,602,768,660,-,749,1255,1101,-
Real,Aya,DRUM'N'BASS,200,-,5,8,9,-,7,9,11,-,-,580,866,920,-,796,949,1139,-
Regulus,DJ.W,INSTRUMENTAL,120-128,-,6,9,10,-,6,10,11,-,-,551,788,881,-,545,805,1065,-
RIDE ON THE LIGHT (HI GREAT MIX),Mr.T,POWER FUSION,180,-,4,5,8,10,5,8,9,10,-,452,548,862,931,469,616,904,1010
RISLIM,ric,NEW ROMANTIC,130,-,4,7,-,-,4,6,-,-,-,463,625,-,-,463,625,-,-
sometime,Aya,SOUND TRACK,150,-,4,6,8,-,5,8,8,-,-,393,539,672,-,393,676,693,-
Spin the disc,good-cool,HOUSE,130,-,5,7,8,-,7,10,-,-,-,409,659,674,-,618,900,-,-
STILL IN MY HEART,NAOKI,HYPER EUROBEAT,150,-,5,7,9,-,4,6,11,-,-,517,705,971,-,516,705,1286,-
still my words,TaQ feat. Meg,AMBIENT,136,-,4,6,-,-,5,7,-,-,-,464,619,-,-,437,726,-,-
sync,OutPhase (TaQ/dj TAKA),TRANCE,167,-,6,8,10,-,7,9,11,-,-,549,982,1204,-,796,1030,1208,-
THE CUBE,DJ SUWAMI,DRUM'N'BASS,178,-,4,6,7,-,4,6,11,-,-,374,644,682,-,374,645,1113,-
THE SHINING POLARIS,L.E.D. feat. Sana,EPIC TRANCE,147,-,5,7,8,-,6,8,-,-,-,485,667,799,-,485,665,-,-
V,TAKA,PROGRESSIVE,150,2,5,10,12,-,6,10,11,-,173,646,1272,1519,-,757,1385,1504,-
BALLAD FOR YOU～想いの雨～,NM feat.Thomas Howard,BALLAD,65,-,4,5,7,-,5,8,-,-,-,297,387,537,-,375,546,-,-
Blueberry Stream,dj TAKA,HOUSE,138,-,5,7,8,-,7,9,10,-,-,429,770,846,-,598,817,868,-
Buffalo,good-cool feat. Hideo Suwa,ROCK,108,-,5,7,10,11,4,8,10,11,-,511,744,932,1287,479,744,932,1260
Colors (radio edit),dj TAKA,TRANCE,150,-,6,9,12,-,6,10,12,-,-,751,1011,1258,-,714,1099,1255,-
DIVE ～INTO YOUR HEART～,NAOKI feat.PAULA TERRY,HYPER TRANCE EURO BEAT,155,-,5,8,10,-,5,8,10,-,-,656,945,1066,-,623,998,1083,-
fly through the night,Mr.T,TRANCE,140,-,4,7,8,-,4,8,10,-,-,452,688,863,-,452,688,981,-
Free Style,Shapes,DANCE POP,132,-,5,6,7,-,6,6,-,-,-,473,571,664,-,473,579,-,-
Frozen Ray (original mix),dj TAKA,TRANCE,156,-,6,9,9,-,5,9,9,-,-,669,897,909,-,428,839,937,-
G2,Aya,DRUM'N'BASS,170,-,8,9,11,-,6,7,12,-,-,752,942,1188,-,665,830,1377,-
L'amour et la liberté,NAOKI underground,TRANCE,140-145,-,5,8,10,-,5,8,10,-,-,501,811,1025,-,501,784,1113,-
Linus,LEGO STUDIO,LOUNGE POP,160-176,-,5,9,11,-,5,9,11,-,-,489,789,1105,-,585,1007,1210,-
NEMESIS,D.J.SETUP,TECHNO,164,-,5,9,11,-,7,10,12,-,-,524,839,973,-,667,977,1367,-
rottel-da-sun,sampling masters MEGA,ROTTERDAM TECHNO,200,-,5,8,10,-,5,8,-,-,-,417,692,936,-,418,693,-,-
route 80s,sampling masters MEGA,NOISY,122,-,6,8,9,-,7,11,12,-,-,457,614,766,-,562,765,900,-
SOMETHING WONDERFUL,L.E.D.,EPIC TRANCE,150,-,6,8,10,-,4,8,11,-,-,471,688,1003,-,458,690,1003,-
Summer Vacation(CU mix),OutPhase,TRIP HOP,135,-,6,9,-,-,9,12,-,-,-,667,949,-,-,984,1328,-,-
Take It Easy,Aya,INSTRUMENTAL,205,-,7,10,11,-,6,11,-,-,-,760,1229,1282,-,745,1356,-,-
VJ ARMY,good-cool,ALL MIX,135-160,-,6,9,10,-,6,8,10,-,-,660,904,1149,-,654,872,1182,-
"19,November",good-cool,HOUSE,125,-,5,6,8,-,5,7,10,-,-,560,733,910,-,589,733,1045,-
こっちを向いてよ,vivi,SOUL,128,-,5,6,7,-,6,9,11,-,-,438,667,703,-,625,767,1127,-
A,D.J.Amuro,RENAISSANCE,93-191,-,6,10,12,-,8,11,12,-,-,666,1111,1260,-,613,1119,1343,-
AVE DE RAPINA,Shawn The Horny Master,ALTERNATIVE HOUSE,125,-,6,8,9,-,8,10,-,-,-,713,882,934,-,948,1113,-,-
Bad Routine,D.J. Spugna,FILTER HOUSE,130,-,5,7,9,-,6,7,9,-,-,522,716,964,-,566,716,1042,-
Burning Heat! (Full Option Mix),Mr.T with Motoaki.F,12 BEAT,166,-,4,5,7,-,4,5,9,-,-,361,494,755,-,359,496,789,-
Cheer Train,Fuzita Blender,BIG BEAT,120,-,5,6,9,-,4,6,12,-,-,470,623,880,-,468,623,1307,-
D2R,NAOKI,HYPER ROCK BEAT,160,-,5,6,8,-,5,6,-,-,-,494,671,823,-,525,665,-,-
DESTINY,NAOKI feat.Paula Terry,HYPER EUROBEAT,155,-,5,6,8,-,4,6,-,-,-,546,700,925,-,575,700,-,-
foreplay,Osamu Kubota,PROGRESSIVE JAZZ,140,-,4,8,8,-,5,9,11,-,-,357,631,684,-,361,630,979,-
Glorious Days,Noria,HIP HOP&SOUL,40-83,-,3,5,6,-,6,7,-,-,-,262,411,463,-,395,461,-,-
Happy Wedding,ASKA,HOUSE,126,-,6,7,8,-,6,8,10,-,-,620,872,940,-,610,899,1061,-
Last Message,good-cool feat. Meg,EUROBEAT,155,-,5,8,9,-,6,10,11,-,-,513,682,819,-,675,748,1111,-
Let the Snow Paint Me,Sana,AMBIENT POP,130,-,4,6,7,-,6,7,-,-,-,431,537,624,-,485,559,-,-
Love Me Do,AKIRA YAMAOKA,NEW WAVE,167,-,5,7,9,-,5,7,-,-,-,571,857,1058,-,577,899,-,-
MAX 300,Ω,HARDCORE TECHNO,12-300,-,7,10,12,-,7,10,12,-,-,570,982,1429,-,566,982,1496,-
Somebody Like You,good-cool,POPS,125,-,4,7,9,-,4,7,9,-,-,376,606,933,-,375,603,937,-
Spica,D.JW,HOUSE,128,-,4,9,11,-,3,9,12,-,-,328,772,1167,-,327,782,1203,-
stoic,TaQ,TECHNO,155,-,8,10,11,-,8,10,12,-,-,874,1250,1302,-,874,1126,1497,-
Tomorrow Perfume,dj TAKA,TRANCE,144,-,6,9,9,-,6,10,11,-,-,685,1000,1085,-,729,1212,1311,-
traces,TaQ,TRANCE,152,-,6,9,10,-,7,9,10,-,-,778,982,1083,-,762,901,1071,-
ZERO-ONE,Mr.T,ELECTROSHOCK,160,-,5,9,10,11,5,8,10,11,-,556,874,1132,1448,556,874,1169,1458
革命,dj TAKA with NAOKI,ORCHESTRAL,83-148,-,6,10,10,-,7,12,12,-,-,392,1004,1183,-,702,1209,1401,-
abstract,TaQ,BIG BEAT,125,-,6,9,9,-,7,9,-,-,-,659,831,960,-,662,950,-,-
airflow,Mr.T,INSTRUMENTAL,40-148,-,3,5,7,-,3,6,7,-,-,295,402,721,-,293,402,721,-
ALL RIGHT,RAM,DRUM'N'BASS,180,-,4,8,9,-,7,8,10,-,-,446,658,815,-,501,720,860,-
Attitude,Y&Co.,TRANCE,145,-,5,8,9,-,5,7,9,-,-,527,721,881,-,578,707,881,-
bit mania,AKIRA YAMAOKA,テクノ歌謡,148,-,4,5,8,-,5,6,-,-,-,458,643,934,-,536,643,-,-
Blame,good-cool feat. Jeff Coote,EUROBEAT,155,-,6,7,11,-,6,7,10,-,-,611,796,980,-,614,745,1105,-
CELEBRATE NITE,N.M.R,EURO GROOVE,144,-,5,6,8,-,5,7,8,-,-,471,591,714,-,471,632,731,-
Colors -Y&Co. Eurobeat Remix-,dj TAKA (remixed by 横田商会),EUROBEAT,155,-,5,9,10,-,6,10,10,-,-,585,1029,1100,-,663,1068,1100,-
dual control,Mr.T,GARAGE HOUSE,131-140,-,5,7,9,-,4,8,9,-,-,403,763,961,-,403,756,854,-
Giudecca,D.J.SETUP,PSYCHEDELIC TECHNO,155,-,4,9,11,-,5,10,11,-,-,470,1016,1381,-,600,1129,1392,-
Halfway of promise,Yu Takami feat. Shihori Nakane,GIRL ROCK,140,-,4,8,11,-,5,8,10,-,-,481,781,940,-,638,779,1157,-
HYPER BOUNDARY GATE,L.E.D.LIGHT,GOA TRANCE,152,-,6,8,9,-,6,8,10,-,-,646,976,1115,-,636,955,1115,-
LAB,RAM,RAVE,180,-,5,9,10,11,5,10,11,12,-,534,1029,1075,1380,547,1014,1255,1594
LOVE IS ORANGE,Orange Lounge,HARD CHANSON,180,-,4,6,8,10,4,5,9,11,-,399,519,903,1059,456,570,1034,1243
Luv 2 Feel Your Body,Shoichiro Hirata,2 STEP,134,-,4,6,9,-,6,9,10,-,-,437,542,839,-,552,703,945,-
memories,TAKA,BEAT ROCK,188,-,5,9,9,-,5,10,11,-,-,578,1056,1157,-,578,1122,1274,-
Monkey Dance,Y&Co.,EUROBEAT,155,-,4,7,9,-,5,6,9,-,-,413,690,997,-,554,689,955,-
murmur twins,yu_tokiwa.djw,CUDDLECORE,174,-,5,9,11,-,5,10,12,-,-,567,854,1207,-,589,924,1188,-
MUSIC TO YOUR HEAD,SLAKE,TECHNO,144,-,4,7,9,-,8,8,9,-,-,415,743,849,-,628,769,849,-
PLEASE DON'T GO,ASLETICS,DISCO,135,-,5,7,12,-,4,9,10,-,-,505,715,1251,-,527,798,1188,-
rainbow flyer,dj TAKA,TRANCE,148,-,5,9,11,-,4,10,11,-,-,422,859,1081,-,424,931,1167,-
symbolic,TaQ,TECHNO,155,-,6,9,10,-,8,10,-,-,-,734,952,1138,-,936,1152,-,-
thunder,Lion MUSASHI,HOUSE,135,-,6,8,9,-,5,9,11,-,-,609,817,959,-,608,944,1126,-
WAR GAME,ASLETICS,HIP HOP,93,-,4,8,10,-,4,7,10,-,-,488,789,1077,-,496,820,1044,-
World Wide Love,MTO,POPS,122,-,3,5,5,-,4,5,-,-,-,353,526,559,-,454,560,-,-
xenon,Mr.T,ELECTROSHOCK,158,-,5,9,11,-,5,8,11,-,-,570,867,1379,-,563,865,1379,-
蒼い衝動,NAOKI feat.YUKI,J-TRANCE,145,-,5,7,8,-,5,6,9,-,-,468,694,803,-,524,685,795,-
桜,Reven-G,SPIRITUAL,13-320,-,7,10,12,-,8,10,12,-,-,541,819,1123,-,605,819,1047,-
Abyss -The Heavens Remix-,dj TAKA Remixed by Ryu☆,TRANCE CORE,171,3,7,10,10,-,6,9,10,-,288,766,938,1188,-,803,1036,1102,-
ACT,RAM,RAVE,180,-,6,9,9,-,6,9,10,-,-,532,864,935,-,637,890,1005,-
ADVANCE,SLAKE,ELECTRONICA,100,-,4,6,10,-,4,6,10,-,-,240,429,818,-,240,453,800,-
ATOMIC AGE,SHUNZZY,ENSEMBLE,130,-,2,5,9,-,2,6,9,-,-,184,341,679,-,184,346,681,-
BAD BOY BASS!! (dj Remo-con MIX),Y&Co.,NRG,148,-,5,7,8,-,4,7,-,-,-,468,714,908,-,468,708,-,-
bag,Reven-G,SPIRITUAL,130,-,5,6,10,-,6,9,10,-,-,468,621,963,-,636,912,1023,-
BRIGHTNESS DARKNESS,SPARKER,ROCOCO TEK,150,-,4,8,9,-,3,8,10,-,-,363,750,889,-,381,825,984,-
Cradle,positive MA feat.akino,HEALIN' HARDCORE,160-188,-,5,8,10,-,6,10,-,-,-,466,751,803,-,617,784,-,-
Distress,dj TAKA Remixed by TaQ,MIXTURE,125,-,7,10,-,-,9,11,-,-,-,691,937,-,-,993,1254,-,-
e-motion 2003 -romantic extra-,e.o.s. Remixed by dj TAKA,TRANCE,145,-,6,8,10,-,8,10,-,-,-,671,824,1001,-,715,978,-,-
fun,Mr.T,FUNK SHUFFLE,100-200,-,4,7,10,-,4,7,10,-,-,311,586,950,-,295,574,950,-
Golden Horn,Osamu Kubota,TURKISH PIANO'N'BASS,160,-,4,8,9,-,3,8,11,-,-,359,646,763,-,359,646,853,-
HYPER EUROBEAT (2DX style),NAOKI feat.PAULA TERRY,EUROBEAT,152,-,5,8,10,-,6,8,-,-,-,557,843,990,-,604,832,-,-
