title,artist,genre,bpm,sp_b_level,sp_n_level,sp_h_level,sp_a_level,sp_l_level,dp_n_level,dp_h_level,dp_a_level,dp_l_level,sp_b_notes,sp_n_notes,sp_h_notes,sp_a_notes,sp_l_notes,dp_n_notes,dp_h_notes,dp_a_notes,dp_l_notes
"水上の提督(Short mix from ""幻想水滸伝V"")",猫叉Master,WORLD/ELECTRONICA,140,-,4,8,10,-,3,9,10,-,-,357,868,1073,-,357,940,1147,-
たからもの,セリカ＆エリカ,POPS,182,-,6,8,9,11,5,7,10,11,-,646,943,1123,1786,636,908,1521,1846
バビロニア,劇団レコード,DISTORTED NEW AGE,164,-,4,7,8,-,4,6,8,-,-,422,705,940,-,412,590,951,-
未来のプリズム,星野奏子,STARPOP,132,-,4,7,9,-,4,8,10,-,-,351,701,893,-,341,698,967,-
ワルツ第17番 ト短調”大犬のワルツ”,virkato,VALSE,※,-,6,10,12,-,6,10,12,-,-,669,1214,1684,-,640,1259,2290,-
Aegis,IT medalion,TECHNO,162,-,6,8,11,-,5,8,10,-,-,459,717,1202,-,444,728,1109,-
ALBIDA,DJ YOSHITAKA,HARD RENAISSANCE,185,3,6,10,12,-,6,9,11,-,267,560,1013,1530,-,568,958,1393,-
Answer,星野奏子,STARPOP,156,-,4,7,10,-,5,7,9,-,-,393,748,1224,-,463,738,1142,-
ANTHEM LANDING,DJムラサメ,LATIN TEK,151,-,5,9,11,-,6,10,11,-,-,489,987,1484,-,555,1164,1258,-
Believe In Me,Uraken feat. Calyn Tsukishima,HARDCORE,170,-,5,9,11,-,5,9,11,-,-,533,962,1213,-,502,916,1200,-
BLUST OF WIND,Anemo=Aspel by MLREC.,CROSSOVER HOUSE,145,-,5,8,10,11,5,8,10,11,-,427,810,1080,1335,394,784,1113,1451
Bounce Bounce Bounce,kors k feat.Kanata Okajima＆楽天斎,DANCEHALL,116,-,5,9,11,-,5,9,11,-,-,560,909,1293,-,507,874,1230,-
Breaking the ground,Art of Fighters,HARDCORE,166,-,5,8,10,-,5,8,10,-,-,598,899,1274,-,556,866,1265,-
Broken,dj TAKA feat.AiMEE,TRANCE,148,-,5,9,12,-,5,9,12,-,-,543,1039,1598,-,551,1096,1420,-
BROKEN EDEN,MYTHOLOGIA by MLREC.,SYMPHONIC-TEK,162,-,6,9,11,-,6,10,11,-,-,542,917,1182,-,560,992,1235,-
Dances with Snow Fairies,Dr.Honda,トレンディートランス,154,-,7,10,12,12,7,10,12,12,-,743,1165,1623,2135,739,1183,1848,2156
DAYDREAMER,ピンクターボ,GIRLY ROCK,195,-,6,8,10,-,6,8,10,-,-,598,885,1265,-,585,822,1304,-
Destiny Sword,CAPACITY GATE,ELECTRIC STEP,155,-,5,9,11,-,5,9,11,-,-,455,923,1213,-,453,829,1254,-
DM STAR～関西 energy style～,NAOKI,SPEED RAVE,155,-,6,9,10,-,6,9,11,-,-,562,979,1206,-,637,1109,1474,-
Energy Drive,kevin energy,HARDCORE,170,-,6,8,11,-,6,8,11,-,-,448,763,1122,-,452,835,1230,-
Eternal Tears,ツガル,WINTER BALLADE,84,-,2,5,7,-,2,5,7,-,-,222,551,691,-,266,485,691,-
Everlasting Resort,SUPER STAR 満-MITSURU-,ONLY ONE ANTHEM,148,-,4,7,10,-,5,7,10,-,-,448,669,959,-,472,750,1058,-
Fantasia,TЁЯRA,HYPER FANTASIA,165,1,3,8,10,-,4,8,10,-,122,201,781,1123,-,309,783,1216,-
Golden Palms,Dirty Androids,NU DISCO,130,-,5,8,10,11,5,9,10,11,-,377,758,1036,1240,503,853,1185,1264
I FIGHT ME,kobo feat. Marsha,DRUM & BASS,175,-,3,7,9,-,4,7,10,-,-,315,718,1068,-,366,781,1172,-
Kailua,kors k,ENERGETIC HAWAIIAN TRANCE,146,-,5,9,11,-,4,9,12,-,-,268,708,1125,-,429,740,1120,-
Let The Track Flow,Brisk & Ham,UK HARDCORE,175,-,6,9,11,-,5,8,11,-,-,571,943,1367,-,534,903,1380,-
Medicine of love,イロハ＆リリナ,MAGICAL POP,173,-,4,6,9,-,4,6,9,-,-,331,558,866,-,328,502,857,-
Mermaid girl,Cream puff,BUBBLEGUM DANCE,140,3,5,8,10,-,6,8,10,-,295,500,856,1113,-,629,1003,1310,-
Never Fade Away,Sota Fujimori feat. dj MAX STEROID,IIDX HANDZ UP!!,170,-,4,8,11,-,5,9,11,-,-,398,907,1535,-,529,1104,1598,-
New Castle Legions,Dirty Androids,DYSTOPIA,120-180,-,6,10,12,-,6,10,12,-,-,510,1042,1418,-,478,990,1587,-
PARADISE LOST,Ryu☆ Vs. L.E.D.-G,TRANCE CORE,200,-,7,11,12,-,7,10,12,-,-,726,1217,1718,-,689,1106,1820,-
passionate fate,Ryu☆,HANDZ UP,149,-,6,8,10,-,6,9,11,-,-,589,832,1075,-,573,840,1295,-
perditus†paradisus,iconoclasm,ANTHEM CORE,172,-,7,11,12,-,7,11,12,-,-,658,1345,2065,-,665,1341,2109,-
Programmed Life,kors k,PSY TRANCE(FULL ON),145,-,6,9,10,-,6,9,11,-,-,557,921,1206,-,551,931,1291,-
reunion,Tatsh,CYBER WALTZ,184,3,8,11,12,-,8,11,12,-,281,708,1239,1677,-,822,1243,1893,-
Rock Da House,M-Project fw. GUHROOVY,UK HARDCORE,175,-,5,9,11,-,5,8,10,-,-,456,836,1128,-,453,794,1150,-
SABER WING,TAG,SHOOTING WALTZ,37-444,-,5,9,11,-,5,9,12,-,-,282,952,1438,-,372,928,1549,-
Sakura Reflection,Ryu☆,HAPPY HARDCORE,181,-,3,9,11,-,6,9,11,-,-,242,815,1190,-,511,879,1395,-
sakura storm,Ryu☆,HAPPY HARDCORE,184,-,5,8,12,-,6,10,12,-,-,529,675,1225,-,550,913,1498,-
Session 9 -Chronicles-,PRASTIK DANCEFLOOR,ROCKIN' DRUM'N'BASS,182-189,-,5,10,12,-,5,10,12,-,-,393,1238,1852,-,512,1184,1731,-
Space Time,NISH,ENERGETIC TRANCE,143,-,4,8,10,-,4,8,11,-,-,317,867,1114,-,478,896,1359,-
SPECIAL SUMMER CAMPAIGN!,Lucky Vacuum,BUCHIAGE TRANCE,168,-,4,8,12,-,6,10,12,-,-,358,833,1509,-,601,1097,1526,-
Stay my side,DJ Yoshitaka feat.RINA,R&B,100,-,4,6,8,-,4,6,7,-,-,325,541,678,-,301,498,689,-
STELLAR WIND,L.E.D.,HARD DANCE,162,2,4,9,11,-,5,9,11,-,194,322,963,1370,-,523,930,1373,-
THE BLACK KNIGHT,L.E.D.,GOA TRANCE,154,-,5,10,11,-,6,10,12,-,-,470,1067,1488,-,518,1086,1490,-
THE DOOR INTO RAINBOW,L.E.D.,TRANCE,155,-,4,8,10,-,4,9,11,-,-,409,873,1123,-,425,923,1289,-
THE FALLEN,L.E.D.-G,GOTH NU-STYLE GABBA,167,-,5,8,11,-,5,9,11,-,-,468,780,1377,-,529,925,1235,-
Tropical April,Risk Junk,VACATION DANCE,182,-,8,10,11,-,6,9,11,-,-,827,1174,1395,-,636,1071,1388,-
Vermillion,Mystic Moon,PSYCHE FUSION,152,-,5,7,10,-,5,8,10,-,-,272,598,1045,-,276,743,1091,-
Watch Out Pt.2,DJ Mass MAD Izm* VS.DJ Yoshitaka,TECH-BREAKBEATS,148,-,6,9,12,-,6,9,11,-,-,599,1029,1506,-,616,961,1322,-
WISE UP!,木之下慶行 feat.星野奏子,RESORT HOUSE,127,2,3,7,9,11,3,6,9,11,174,249,596,803,1320,284,487,792,1316
Wuv U,kors k,CANDY RAVE,173,-,3,8,10,-,7,9,11,-,-,208,672,861,-,623,804,1089,-
XANADU OF TWO,T.Kakuta With Starving Trancer + 森永真由美,DANCE POP,160,-,5,8,10,11,5,8,10,11,-,505,882,1382,1729,551,879,1329,1817
ZETA～素数の世界と超越者～,Zektbach,IDM,90-180,2,4,9,11,-,6,10,12,-,167,307,1097,1583,-,557,1307,1847,-
おおきなこえで,猫叉Master feat.Sana,WORLD/POPS,100,-,3,5,7,10,3,5,7,10,-,230,502,754,1095,235,459,611,1067
かげぬい ～ Ver.BENIBOTAN ～,CULTVOICE by S.S.D.PRODUCTS,NATSU MATSURI,186,3,5,7,9,-,5,7,10,-,266,450,718,980,-,458,729,1076,-
黒髪乱れし修羅となりて,村正クオリア,撫子メタル,150,-,4,9,12,-,5,10,12,-,-,410,1077,1745,-,557,1234,1750,-
灼熱Beach Side Bunny,DJ Mass MAD Izm*,BROKEN SAMBA BREAK,153,3,7,10,12,-,6,10,12,-,296,564,1025,1719,-,542,933,1692,-
旅人リラン,XOGO BRYKK,ELECLORE,155,-,6,9,11,-,6,10,12,-,-,579,998,1345,-,617,1054,1475,-
中華急行,Ryu☆,HAPPY HARDCORE,171,-,2,8,10,-,5,8,10,-,-,164,770,1167,-,433,811,1233,-
夕焼け ～Fading Day～,JAKAZiD,AURAL ADRENALINE,174,-,5,9,11,-,5,9,11,-,-,504,1067,1420,-,488,983,1314,-
A MINSTREL ～ ver. short-scape ～,KANTASIA by S.S.D. PRODUCTS,LA FABELO,114,-,3,6,9,12,3,8,9,12,-,341,732,1187,1954,346,771,1231,1965
Almace,Qrispy Joybox,TECHNO,172,-,4,8,10,-,4,8,11,-,-,432,660,1012,-,431,746,1153,-
ANAGRAMS I to Y,Mayumi Morinaga,DANCE POP,165,-,4,7,9,-,4,8,9,-,-,456,849,1245,-,437,863,1233,-
BLACK.by X-Cross Fade,DJ Mass MAD Izm*,TECH-BREAKBEATS,163,-,6,10,12,-,6,10,12,-,-,518,1111,1738,-,547,1201,1761,-
CALL,猫叉Master,WORLD/ELECTRONICA,158,-,2,5,8,11,2,8,8,11,-,185,441,735,1371,271,721,864,1426
Castle on the Moon,青龍,DANCE SPEED,191,1,4,9,11,-,4,9,11,-,121,328,837,1231,-,329,818,1305,-
Change the World,Tatsh feat.小田ユウ,SPEED POP,286,-,5,7,9,-,6,9,11,-,-,412,714,931,-,549,913,1271,-
DIAVOLO,度胸兄弟,TRANSCENDENTAL ETUDES,160,-,6,9,12,-,7,10,12,-,-,657,974,1745,-,657,1209,1832,-
Drive Me Crazy,kors k feat.古川未鈴,AKIBA RAVE,180,-,4,7,10,-,4,7,10,-,-,361,704,1157,-,360,687,1254,-
Express Emotion,REDALiCE feat. Shihori,J-CORE,182,-,4,6,10,-,4,6,9,-,-,385,521,1271,-,395,654,1248,-
F,D.J.Amuro,RENAISSANCE,154,-,5,10,12,-,5,10,12,-,-,532,1099,1813,-,532,1258,1760,-
Far east nightbird,猫叉Master,DRUM'N'BASS,180,2,3,7,9,-,4,8,10,-,180,264,682,1025,-,373,738,1126,-
ƒƒƒƒƒ,Five Hammer,HARD Pf,138,-,4,10,12,-,5,10,12,-,-,431,1109,1624,-,611,1297,1703,-
Flip Flap,kors k,CANDY HANDZ UP,175,1,3,7,10,-,3,7,10,-,140,294,706,1137,-,293,662,1004,-
Follow Tomorrow,HHH×MM×ST,J-DANCE POP,140,-,4,8,10,-,4,8,10,-,-,457,754,1142,-,490,819,1193,-
GIGANT,seiya-murai,MARCHING ROCK,140,-,3,6,9,11,3,7,10,12,-,297,601,890,1484,316,678,1068,1481
HAERETICUS,D.J.Amuro Vs MAX MAXIMIZER,ECCENTRIC,208,-,5,10,12,-,5,10,12,-,-,440,1000,1589,-,458,1004,1535,-
I'm so Happy,Ryu☆,HAPPY HARDCORE,181,2,3,8,11,-,5,9,11,-,159,211,709,1187,-,381,768,1205,-
In the Blackest Den,Bulluvegola,PROGRESSIVE ROCK,177,-,5,8,11,-,5,8,11,-,-,449,831,1372,-,452,873,1457,-
Infinite cave,猫叉Master+,DRUM'N'BASS,190,-,6,9,10,-,8,10,12,-,-,529,786,1044,-,724,1137,1525,-
KYAMISAMA ONEGAI!,Dr.Honda feat. Moe,トレンディーポップス,140,-,3,6,9,11,4,6,9,12,-,344,580,1076,1583,394,628,1098,1845
LAX5 feat.Ryota Yoshinari,Katana Sounds,LOUD TECH,190,-,6,9,10,-,6,9,10,-,-,540,1082,1427,-,612,1181,1544,-
LETHEBOLG ～双神威に斬り咲けり～,TЁЯRA,PLATINUM J-POP ONE,165,-,5,8,10,-,5,8,10,-,-,518,826,1111,-,512,866,1115,-
Liquid Crystal Girl feat. echo,kmp,ELECTRO,134,-,2,6,9,-,2,6,9,-,-,209,562,1014,-,229,617,1202,-
LOVE B.B.B,SWAN K feat. Asuka M,DRUM'N'BASS,173,-,4,8,10,-,4,8,10,-,-,394,772,1019,-,438,816,1181,-
Lucky Days,Sota Fujimori feat. Kanako Hoshino,DREAM TRANCE,160,-,4,8,10,-,4,8,10,-,-,333,777,1111,-,333,777,1111,-
Mermaid girl-秋葉工房 MIX-,Remixed by DJ Command,EUROBEAT,150,-,4,6,9,-,4,7,9,-,-,415,678,1030,-,427,704,1029,-
Miami Sunset Drive,Dirty Androids,80's ELECTRO HOUSE,131,-,4,6,9,-,4,7,10,-,-,324,548,842,-,331,669,995,-
NNRT,Levaslater,ELECTRO GOTHIC,101-202,-,6,10,12,-,6,10,12,-,-,632,1290,1780,-,654,1389,1957,-
Phoenix,Hommarju,HARD NRG,176,-,5,7,10,12,5,8,11,12,-,454,617,1258,2027,527,793,1329,2010
prompt,wｘs ft.*spiLa*,NU PROGRESSIVE,198,-,5,8,11,-,5,8,11,-,-,482,802,1420,-,530,1024,1502,-
QUANTUM TELEPORTATION,L.E.D.,TECHNO,152,-,7,10,11,12,7,10,12,12,-,729,1216,1490,1845,729,1216,1999,1825
quaver♪,Risk Junk,HAPPY,182-186,1,4,9,12,-,4,9,12,-,145,357,1075,1745,-,340,1021,1874,-
Quick Silver,Mystic Moon,RAVE FUSION,172,-,5,9,11,-,5,9,11,-,-,404,941,1353,-,447,878,1438,-
Release The Music,kors k,TECH DANCE,146,-,4,7,10,-,4,7,10,-,-,430,740,1081,-,420,771,1035,-
RESISTANCE,セリカ,MYSTERIOUS ROCK,184,-,3,7,10,-,3,7,10,-,-,320,679,1198,-,353,707,1345,-
Round and Round,Masayoshi Minoshima feat. 綾倉盟,HYPER ELECTRO,145,-,4,6,9,-,3,6,10,-,-,403,622,1088,-,435,700,1230,-
SA.YO.NA.RA. SUPER STAR,SUPER STAR 満-MITSURU-,ONLY ONE FINALE,85-170,-,4,8,10,-,5,9,11,-,-,248,656,868,-,402,754,1192,-
Scharfrichter,Ashemu,HARD ROCK,217,-,5,9,11,-,6,9,11,-,-,449,822,1472,-,522,974,1552,-
Several Words,CAPACITY GATE,VALIANT BEAT,180,-,4,8,10,-,4,8,10,-,-,321,729,1098,-,336,724,1108,-
SHADE,DJ MURASAME vs dj Killer,TECHNO,151,-,5,9,11,-,5,10,11,-,-,551,1048,1464,-,609,1100,1372,-
Snake Stick,DJ Yoshitaka VS. DJ Mass MAD Izm*,TECH-BREAKBEATS,145,-,6,10,12,-,6,10,12,-,-,535,1067,1447,-,560,1108,1418,-
Snow Goose,Mutsuhiko Izumi,ELECTRIC POMP,200,2,3,8,11,-,4,9,11,-,151,188,691,1238,-,239,1017,1394,-
Star Trail,Nhato,TRANCE,148,-,4,7,10,11,4,7,10,11,-,325,612,942,1325,376,726,1177,1291
The Limbo,STN,CYBER PUNK,200,-,6,10,12,12,6,10,12,12,-,603,1042,1701,2190,626,1192,1618,2146
The Sampling Paradise,Mamonis,HARD TRANCE,150,-,5,9,12,-,5,10,12,-,-,438,940,1545,-,451,1191,1646,-
Thunderbolt,雷龍,RAVERS DANCE SPEED,188,-,5,9,12,-,5,9,11,-,-,527,975,1911,-,534,1034,1677,-
TITANS RETURN,L.E.D.,DRUMSTEP,※,2,4,8,11,12,4,8,11,12,164,318,802,1275,1377,319,798,1265,1384
Todestrieb,Rche,SACRED TRANCE,185,-,5,9,12,-,5,9,12,-,-,565,979,1733,-,541,1079,1960,-
Voxane,Remo-con,TECH DANCE,140,-,3,7,9,-,3,7,9,-,-,312,628,881,-,315,642,1013,-
WONDER WALKER,L.E.D.,HARD TRANCE,165,-,5,9,12,-,5,9,12,-,-,496,990,1921,-,498,1020,1916,-
YAKSHA,Neulakyussra,TERROR CORE,190,-,6,10,12,-,6,11,12,-,-,634,1215,2000,-,647,1391,2033,-
yellow head joe,S-C-U,TEK-TRANCE,187,-,4,8,10,12,4,9,12,-,-,401,778,1152,1596,424,893,1438,-
Yellow Sunrise,xac,DRUM'N'BASS,174,-,4,7,10,-,4,8,11,-,-,383,726,1145,-,437,878,1493,-
24th Century BOY,Tatsh,EURO RAVE,168,-,5,9,11,-,5,9,11,-,-,430,996,1456,-,507,1049,1398,-
532nm,Ryu☆,HARDCORE,177,-,3,7,11,-,4,7,11,-,-,288,640,1349,-,352,686,1310,-
蛇神,Zektbach,ORIENTAL MYTHOLOGY,170,2,4,8,11,12,4,8,11,12,212,368,773,1438,1904,419,922,1473,1838
陽炎,星野奏子,POP,140,-,3,6,9,-,3,6,10,-,-,317,606,1010,-,315,602,1079,-
君のハートにロックオン,Dr.Honda,トレンディーフュージョン,260,-,4,9,11,12,4,8,12,-,-,359,904,1363,1828,367,902,1837,-
恋する☆宇宙戦争っ！！,Prim,Hi-BLEEP,200,2,5,8,12,12,4,8,12,12,257,455,883,1835,2355,455,840,1858,2276
子供の落書き帳,佐々木博史,PROGRESSIVE,280,-,6,10,12,-,7,10,12,-,-,471,1018,1395,-,561,941,1254,-
衰色小町メランコリア,iNO,NEO CLASSICAL DANCE,139,-,4,7,10,-,4,7,10,-,-,401,711,1192,-,395,744,1163,-
聖人の塔,Beridzebeth,BATTLE TRACK,97-194,-,6,10,12,12,6,10,12,12,-,489,1076,1567,2290,530,1139,1997,2267
天空の夜明け,Cuvelia,ANTHEM,150,-,7,10,12,-,7,11,12,-,-,686,1125,2072,-,703,1444,2261,-
突撃!ガラスのニーソ姫!,山本椛 (monotone),電波,185,-,4,7,10,-,4,8,10,-,-,329,592,1066,-,363,696,1144,-
ビューティフルレシート,Lucky Vacuum,HAPPY HARDCORE,196,1,3,8,10,-,4,9,11,-,171,259,621,978,-,311,814,1151,-
ユミル,MYTHOLOGIA by MLREC.,SYMPHONIC-TEK,164,-,3,7,11,-,5,8,11,-,-,333,691,1434,-,505,854,1404,-
Ascalon,Qrispy Joybox,ELECTRO POP,185,-,5,8,10,-,6,9,11,-,-,569,913,1171,-,649,1031,1448,-
Beastie Starter,GUHROOVY,SPEEDCORE,190,-,3,7,11,-,3,7,11,-,-,272,661,1121,-,272,667,1100,-
BLUE STRAGGLER,L.E.D.,HARD DANCE,160,-,4,7,10,-,4,8,10,-,-,440,761,1328,-,442,843,1311,-
BRAVE GLOW,SOUND HOLIC feat. Nana Takahashi,SPACY TRANCE,160,-,4,8,10,-,4,8,10,-,-,419,875,1261,-,392,772,1188,-
CONCEPTUAL,Sota Fujimori 2nd Season,HARD REVOLUTION,198,-,5,7,11,-,5,8,11,-,-,417,689,1391,-,437,708,1412,-
Confiserie,L.E.D. vs S-C-U,HARD ELECTRIC POP,185,-,5,10,12,-,5,10,12,-,-,484,1097,1833,-,509,1097,1938,-
connective,猫叉Master feat.*spiLa*,LOUNGE POP,128,-,2,6,8,-,2,6,8,-,-,203,564,805,-,206,569,787,-
Cookie Bouquets,L.E.D. vs TOMOSUKE fw.crimm,BREAK CORE,205,-,5,9,11,-,7,10,11,-,-,446,1076,1714,-,655,1119,1814,-
DAY DREAM,Mutsuhiko Izumi,DARK PROGRESSIVE,80-300,-,5,10,12,-,6,10,12,-,-,295,685,1075,-,318,644,1018,-
Devilz Staircase,OSTER project,SYMPHONIC BREAK BEATS,185,-,3,10,12,-,4,10,12,-,-,332,1134,1685,-,361,1017,1614,-
Elemental Creation,dj TAKA meets DJ YOSHITAKA,HARD RENAISSANCE,212,1,7,10,12,-,8,10,12,-,133,767,1248,2130,-,828,1268,2222,-
examination leave,dj razzle dazzle,VACATION DANCE,180,-,6,9,11,-,6,10,11,-,-,585,972,1712,-,704,1148,1613,-
FLOWER,DJ YOSHITAKA,TRANCE CORE,173,2,6,9,11,-,6,9,12,-,182,575,915,1460,-,605,977,1493,-
Fly you to the star,Another Infinity feat. Mayumi Morinaga,HANDZ UP,141,-,4,8,10,-,4,8,11,-,-,393,818,1144,-,410,744,1161,-
GAIA,猫叉L.E.D.Master+,SPEED DANCE,180,-,5,10,12,-,5,10,12,-,-,527,1149,1676,-,610,1074,1854,-
GRADIUS 2012,Sota Fujimori,KONAMI REMIX,180,-,5,8,10,-,5,8,11,-,-,465,869,1380,-,532,817,1459,-
Hollywood Galaxy,dj TAKA,DRUM'N'BASS,186,-,5,10,12,-,6,9,12,-,-,567,1039,1392,-,579,1022,1378,-
Howling,PON,NU RAVE,155,-,4,7,9,10,4,7,10,11,-,280,695,1066,1350,321,710,1060,1427
I know You know,Suke+Suke feat.Ribbon,NEW 80's,136,-,3,6,9,-,3,6,9,-,-,304,602,950,-,345,628,976,-
ILIAS,Masayoshi Minoshima feat. 坂上なち,HYPER ELECTRO,142,-,4,7,10,-,4,8,10,-,-,406,669,1105,-,412,846,1286,-
Illegal Function Call,U1-ASAMi,ORBITALIC CORE,260,-,5,9,11,12,5,10,11,12,-,511,942,1398,2023,533,1173,1602,2076
In Heaven,Sota Fujimori,HEAVENLY TRANCE,149,-,4,7,9,-,5,7,9,-,-,386,745,1072,-,495,754,1107,-
JOMANDA,DJ YOSHITAKA,HARD RENAISSANCE,90-300,1,6,10,12,-,6,10,12,-,134,595,1300,1918,-,598,1317,1810,-
Liberation,dj TAKA,TRANCE,150,-,6,9,12,-,6,10,12,-,-,760,1203,1905,-,738,1290,1744,-
Light and Cyber･･･,Tatsh,HAPPY HARDCORE,181,-,5,9,11,-,5,9,11,-,-,532,1039,1579,-,565,1073,1502,-
Little Star,REDALiCE feat. Ayumi Nomiya,J-CORE,183,-,5,8,12,-,5,8,12,-,-,495,896,1635,-,498,954,1676,-
LUV CAN SAVE U,HIDEKI NAGANUMA,NEO 80's EURO ELECTRO,140,-,3,7,9,10,3,6,10,11,-,295,720,1069,1409,300,699,1416,1644
mnemoniq,youhei shimizu,JAZZ HOUSE,111,-,4,5,8,-,5,8,9,-,-,269,488,658,-,396,635,799,-
Neonlights,DJ Noriken,TECH DANCE,145,-,4,8,10,-,4,10,11,-,-,333,815,1127,-,346,967,1121,-
neu,少年ラジオ,NIENTE,※,1,6,10,12,-,6,10,12,-,99,504,1099,1999,-,521,999,1999,-
New Decade IIDX Edition,Sota F.,SPEED DANCE CORE,200,1,5,9,11,-,5,9,11,-,136,503,1001,1539,-,533,948,1461,-
New Lights,kors k,HARDCORE,175,-,6,9,10,-,6,9,10,-,-,531,929,1250,-,686,945,1306,-
Plan 8,Ryu☆,HAPPY GABBA,212,-,6,10,12,-,6,10,12,-,-,600,1147,1690,-,627,1077,1577,-
planarian,S-C-U,ELECTRIC POP,164,-,4,8,10,-,4,8,11,-,-,360,854,1279,-,398,862,1439,-
POINT ZERO,猫叉Master+,DRUM'N'BASS,188,-,4,7,10,-,4,7,10,-,-,370,663,1068,-,352,722,1014,-
Präludium,Yuko Takahashi,CLASSICAL PIANO,152,-,4,8,10,-,4,8,11,-,-,355,732,1164,-,381,758,1216,-
Proof of the existence,猫叉Master+,HARD ELECTRONICA,170,-,6,10,12,-,6,10,12,-,-,603,1104,1675,-,595,1104,1524,-
Rainbow after snow,猫叉Master feat.林ももこ,DRUM'N'BASS,179,-,4,7,10,-,5,8,10,-,-,370,744,1090,-,494,794,1208,-
Reflection Into the EDEN,猫叉Master,BOSSA ELECTRONICA,110,-,4,7,10,-,5,7,10,-,-,404,740,1100,-,539,806,1283,-
Re:GENERATION,TAG feat. ERi,EMOTIONAL SENTENCE,176,1,5,8,10,-,5,8,11,-,122,481,810,1145,-,481,949,1410,-
rumrum triplets,yu_tokiwa.djw,LOUNGECORE,192,-,5,10,11,-,5,10,12,-,-,491,1029,1541,-,484,1256,1613,-
S!ck,Eagle,DRUMSTEP,177,-,5,8,11,-,5,9,11,-,-,463,808,1373,-,465,961,1416,-
Saturn,Mr.Saturn,PROGRESSIVE TRIBAL,155,-,7,10,11,12,6,10,11,12,-,693,1040,1332,1783,711,1091,1470,1814
Shining World,DJ Genki feat. Yukacco,ELECTRO POP,150,-,6,8,9,-,4,7,9,-,-,632,811,976,-,568,726,1296,-
SHION,DJ YOSHITAKA,HI-SPEED FANTASY TUNE,179,-,4,7,10,-,4,7,11,-,-,338,656,1359,-,393,810,1482,-
Sol Cosine Job 2,DJ TECHNORCH,FREEFORM HARDCORE,190-200,-,6,9,12,-,6,11,12,-,-,542,904,1625,-,550,1294,1596,-
STULTI,MAX MAXIMIZER VS DJ TOTTO,GRAVIOL,90-182,-,5,10,12,-,5,10,12,-,-,415,867,1416,-,494,936,1496,-
SYNC-ANTHEM,Tatsh feat. 星野奏子,LATIN EURO,160-166,-,5,10,12,-,6,10,12,-,-,481,1279,1865,-,563,1254,1732,-
Synergy For Angels,TAG×U1-ASAMi,ORBITALIC REVOLUTION,160,-,4,8,11,-,4,8,11,-,-,466,860,1400,-,469,850,1496,-
Take My Life,Y&Co.,EUROBEAT,175,-,5,8,11,-,5,9,11,-,-,490,817,1487,-,522,910,1491,-
Thor's Hammer,ユニバーサル度胸兄弟,TRANSCENDENTAL ETUDES,150,-,5,10,12,-,5,10,12,-,-,491,945,1641,-,516,1015,1670,-
Time to Empress,dj TAKA feat.wac & secret K,TRANCE,148,-,4,9,10,11,7,9,11,12,-,467,983,1324,1600,726,1138,1497,1644
Timepiece phase II,佐々木博史,PROGRESSIVE ROCK,287,-,5,10,12,-,6,11,12,-,-,546,1161,1665,-,522,1180,1571,-
Timepiece phase II (CN Ver.),佐々木博史,PROGRESSIVE ROCK,287,-,6,10,12,-,6,11,12,-,-,501,1008,1546,-,502,970,1325,-
True Blue,dj TAKA feat.AiMEE,ESSENTIALLY,164,-,5,10,12,-,5,10,12,-,-,551,1291,1898,-,579,1244,1775,-
Valanga,DJ TOTTO,ART CORE,186,-,7,10,12,-,6,10,12,-,-,674,1126,1647,-,644,1142,1807,-
VALLIS-NERIA,DJ YOSHITAKA,TRANCE CORE,185,1,6,10,11,-,7,10,11,-,136,623,1076,1507,-,667,1169,1619,-
VEGA,REDALiCE,UNIVERSAL J-CORE,191,-,5,9,11,-,5,9,11,-,-,581,1061,1584,-,583,1046,1670,-
ZED,USAO,DUB STEP,190,-,5,8,11,-,5,8,11,-,-,474,876,1405,-,534,818,1479,-
Zirkfied,iconoclasm,SPACE REQUIEM,210,-,5,10,12,-,5,10,12,-,-,524,1055,1968,-,518,1044,1897,-
405nm (Ryu☆mix),Another Infinity,HARDCORE,177,-,5,9,11,-,5,9,11,-,-,467,898,1301,-,469,910,1361,-
8bit Princess,seiya-murai feat. ALT,CHIPTUNE,150,-,3,6,10,-,3,6,10,-,-,327,690,1319,-,343,621,1355,-
アストライアの双皿,ZODIACSYNDICATE,ZODIAC ORACLE 7,173,-,4,9,12,-,5,9,12,-,-,345,1110,1632,-,505,1105,1514,-
梅雪夜,Qrispy Joybox feat.mao,想歌 梅,167,-,5,7,10,-,5,8,10,-,-,445,759,1081,-,425,771,1108,-
ΕΛΠΙΣ,dj TAKA,ROMANTIC SCHOOL VARIATIONS,175,-,6,10,12,12,6,10,12,12,-,584,1075,1600,1852,551,1096,1577,1815
お米の美味しい炊き方、そしてお米を食べることによるその効果。,大日本鉄倶楽部【あさき＆96】,お米タル,190,-,5,8,10,12,5,9,10,12,-,459,812,1122,1907,517,805,1085,1866
朧,HHH×MM×ST,FASCINATION,149,1,4,7,10,11,4,7,10,11,104,395,758,1060,1280,413,759,1082,1257
音楽,弁士カンタビレオ,SILENT,210-360,-,5,10,12,-,5,10,12,-,-,453,1038,1487,-,500,949,1369,-
下弦の月,iNO,NEO CLASSICAL DANCE,166,-,5,7,9,-,5,7,9,-,-,477,755,1000,-,471,729,984,-
