曲管理番号	バージョン	曲名	Diff	Lv
1	5th style	Abyss	A	8
2	CastHour	Blue Bird feat. Kanae Asaba	A	8
3	8th style	CELEBRATE NITE	A	8
4	tricoro	connective	A	8
5	7th style	D2R	A	8
6	DJ TROOPERS	Darling my LUV	A	8
7	7th style	DESTINY	A	8
8	SINOBUZ	elemental bender feat. Kanae Asaba	A	8
9	HEROIC VERSE	fairy cocktail	A	8
10	7th style	foreplay	A	8
11	7th style	Happy Wedding	A	8
12	8th style	LOVE IS ORANGE	A	8
13	GOLD	never…	A	8
14	5th style	outer wall	A	8
15	Rootage	OVER TIME	A	8
16	3rd style	Schlagwerk	A	8
17	substream	THE EARTH LIGHT	A	8
18	5th style	THE SHINING POLARIS	A	8
19	GOLD	The Smile of You	A	8
20	DJ TROOPERS	Wanna Party?	A	8
21	GOLD	With your Smile	A	8
22	6th style	19,November	A	8
23	SIRIUS	かずあそび	A	8
24	SIRIUS	バビロニア	A	8
25	Rootage	ミストレス・アンに花束を	A	8
26	8th style	abstract	A	9
27	9th style	ACT	A	9
28	IIDX RED	AGEHA	A	9
29	CANNON BALLERS	Alpheratz	A	9
30	Lincle	ANAGRAMS I to Y	A	9
31	SIRIUS	beatchic☆仮面～好き、でいさせて～	A	9
32	DJ TROOPERS	beatonic nation	A	9
33	BISTROVER	BEMANI PRO LEAGUE Theme	A	9
34	4th style	Broken My Heart	A	9
35	7th style	Cheer Train	A	9
36	4th style	Clione	A	9
37	copula	Damage Per Second	A	9
38	Pinky Crush	Digital Radiance	A	9
39	HAPPY SKY	Don't let it go	A	9
40	Pinky Crush	Dreamship	A	9
41	8th style	dual control	A	9
42	SPADA	Element of SPADA	A	9
43	CastHour	Fantastic Merry-Go-Round	A	9
44	HAPPY SKY	First Resolution	A	9
45	6th style	Frozen Ray (original mix)	A	9
46	CANNON BALLERS	Get Up! feat. Kanae Asaba	A	9
47	Lincle	GIGANT	A	9
48	Rootage	Glory	A	9
49	tricoro	Howling	A	9
50	8th style	HYPER BOUNDARY GATE	A	9
51	HEROIC VERSE	Hyper Drive feat. ぷにぷに電機	A	9
52	tricoro	I know You know	A	9
53	tricoro	In Heaven	A	9
54	PENDUAL	In The Breeze	A	9
55	SIRIUS	IN THE NAME OF LOVE	A	9
56	DistorteD	INFERNO	A	9
57	PENDUAL	IXION	A	9
58	copula	Journey	A	9
59	Lincle	KYAMISAMA ONEGAI!	A	9
60	HAPPY SKY	LESSON 5	A	9
61	Lincle	Liquid Crystal Girl feat. echo	A	9
62	HEROIC VERSE	Mel	A	9
63	8th style	memories	A	9
64	Lincle	Mermaid girl-秋葉工房 MIX-	A	9
65	CANNON BALLERS	Midnight Lady	A	9
66	HAPPY SKY	MOON RACE	A	9
67	EPOLIS	My Sweet Bird?	A	9
68	EMPRESS	NΦ CRIME	A	9
69	HAPPY SKY	PLASMA	A	9
70	IIDX RED	Raspberry♡Heart(English version)	A	9
71	BISTROVER	S-Bahn	A	9
72	DJ TROOPERS	satfinal	A	9
73	SINOBUZ	Seaside Labyrinth	A	9
74	SINOBUZ	Selfish Sweet	A	9
75	tricoro	Shining World	A	9
76	10th style	SHOOTING STAR	A	9
77	Sparkle Shower	Signs and Wonders	A	9
78	9th style	Silvia Drive	A	9
79	CANNON BALLERS	Sleepless days	A	9
80	SIRIUS	Special One	A	9
81	9th style	STAR FIELD	A	9
82	4th style	starmine	A	9
83	HEROIC VERSE	Sugar Drippin'	A	9
84	DJ TROOPERS	the trigger of innocence	A	9
85	8th style	thunder	A	9
86	EPOLIS	Too Late Snow	A	9
87	Rootage	Twilight Warp	A	9
88	BISTROVER	WAKE UP NOW	A	9
89	RESIDENT	wanna be a "BAD GIRL" feat. Nana Takahashi	A	9
90	HAPPY SKY	We are Disっ娘よっつ打ち命	A	9
91	Resort Anthem	WISE UP!	A	9
92	DistorteD	WISH(EUROBEAT MIX)	A	9
93	DistorteD	with you…	A	9
94	DJ TROOPERS	エコ爺	A	9
95	Lincle	陽炎	A	9
96	PENDUAL	恋は白帯、サンシロー	A	9
97	DJ TROOPERS	高高度降下低高度開傘	A	9
98	EPOLIS	センチメンタル・サマー	A	9
99	GOLD	零 - ZERO -	A	9
100	IIDX RED	太陽～T・A・I・Y・O～	A	9
101	EMPRESS	翼	A	9
102	CANNON BALLERS	ナイトシティー・アヴァンチュール	A	9
103	DistorteD	虹色	A	9
104	EMPRESS	まほろば	A	9
105	RESIDENT	真夜中のバベル	A	9
106	GOLD	ヨシダさん	A	9
107	4th style	ABSOLUTE	A	10
108	9th style	Abyss -The Heavens Remix-	A	10
109	CANNON BALLERS	ACCELERATE	A	10
110	Sparkle Shower	ACID VISION	A	10
111	CANNON BALLERS	ANAGMA	A	10
112	GOLD	ANDROMEDA II	A	10
113	CastHour	ANEMONE	A	10
114	Resort Anthem	Answer	A	10
115	CastHour	Ariah	A	10
116	BISTROVER	As You Want	A	10
117	tricoro	Ascalon	A	10
118	10th style	Back Into The Light	A	10
119	DJ TROOPERS	Be OK	A	10
120	SIRIUS	BEAUTIFUL ANGEL	A	10
121	Resort Anthem	BLUST OF WIND	A	10
122	DistorteD	BOOM BOOM DISCO NIGHT	A	10
123	tricoro	BRAVE GLOW	A	10
124	SPADA	BRAVE OUT	A	10
125	CastHour	Brave Spirits	A	10
126	CANNON BALLERS	Break Stasis	A	10
127	Pinky Crush	Chasing After YOU ～夢の欠片～ ft. 小林マナ	A	10
128	CANNON BALLERS	Chemical Cookie	A	10
129	BISTROVER	Chewingood!!!	A	10
