曲管理番号	バージョン	曲名	Diff	Lv
1402	Rootage	夏の匂い。キミの残像。 ft. Kanae Asaba	A	10
1403	EMPRESS	ハリツヤランデヴー	A	10
1404	Pinky Crush	ハルイロメロディー	A	10
1405	Sparkle Shower	百恋ラブラスター	A	10
1406	Lincle	ビューティフルレシート	A	10
1407	EPOLIS	ポラリスノウタ	A	10
1408	DJ TROOPERS	ミラージュ・レジデンス	A	10
1409	CastHour	めでてえ	A	10
1410	HEROIC VERSE	ラブキラ☆スプラッシュ	A	10
1411	GOLD	リグレット	A	10
1412	EMPRESS	凛として咲く花の如く	A	10
1413	Sparkle Shower	レシピのリドル	A	10
1414	Sparkle Shower	恋愛観測	A	10
1415	DistorteD	罠	A	10
1416	Pinky Crush	ADAMANT	A	11
1417	PENDUAL	AFRO KNUCKLE	A	11
1418	DJ TROOPERS	Anisakis -somatic mutation type"Forza"-	A	11
1419	SINOBUZ	AsiaN distractive	A	11
1420	SINOBUZ	Be A Star	A	11
1421	PENDUAL	Beyond The Earth	A	11
1422	SINOBUZ	Beyond The Seven	A	11
1423	PENDUAL	Blaze it UP!	A	11
1424	SIRIUS	bloomin' feeling	A	11
1425	Resort Anthem	BLUST OF WIND	L	11
1426	SINOBUZ	BroGamer	A	11
1427	HAPPY SKY	CaptivAte～浄化～	A	11
1428	copula	chaos eater -IIDX edition-	A	11
1429	PENDUAL	Chronos	L	11
1430	CANNON BALLERS	City Never Sleeps (IIDX Edition)	A	11
1431	PENDUAL	COLOSSEUM	A	11
1432	tricoro	Cookie Bouquets	A	11
1433	SIRIUS	DAWN -THE NEXT ENDEAVOUR-	A	11
1434	EPOLIS	DAZZLE ATTACK	A	11
1435	10th style	Debtty Daddy	A	11
1436	DistorteD	DEEP ROAR	A	11
1437	HAPPY SKY	EDEN	L	11
1438	SINOBUZ	Egret and Willow	A	11
1439	SPADA	Element of SPADA	L	11
1440	CastHour	Emera	A	11
1441	tricoro	examination leave	A	11
1442	CANNON BALLERS	Exhaust Hype	A	11
1443	CANNON BALLERS	Fervidex	A	11
1444	CANNON BALLERS	FREEDOM	A	11
1445	Rootage	HEISEI	A	11
1446	10th style	HIGH	L	11
1447	Pinky Crush	IN BETWEEN	A	11
1448	copula	Journey	L	11
1449	IIDX RED	KEY	A	11
1450	Sparkle Shower	kors k's Let's make an Image Song!	A	11
1451	9th style	Logic Board	A	11
1452	Pinky Crush	lowercase lifetime	A	11
1453	10th style	Lucy	A	11
1454	Pinky Crush	MVP	A	11
1455	PENDUAL	Night sky	A	11
1456	copula	On the FM	A	11
1457	SINOBUZ	OOO	L	11
1458	copula	Outbreak	A	11
1459	PENDUAL	PENDUAL TALISMAN	A	11
